"id","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"W1",36392.8875,36498.025,36345.5375,36207.925,36187.0375,35914.575,35701.4125,35259.7,35604.725,36158.5125,36320.3125,35272.725,35320.575
"W2",3628.24375,3622.00375,3611.01,3579.47,3577.33,3570.11,3511.8525,3519.36875,3541.935,3622.14,3568.32875,3515.98375,3479.1875
"W3",9803.58125,9858.36,9790.3875,9585.0075,9666.56625,9934.08625,9880.16125,9782.29125,9749.8275,9980.05625,9991.45,9763.35125,9641.6775
"W4",2151.015,2259.37625,2367.6375,2656.83875,2480.6275,2751.1325,2613.05375,3346.58625,2848.88,3007.5425,3367.25625,3952.4175,4382.78875
"W5",1616.83625,1629.42625,1638.18625,1727.88125,1731.82125,1886.145,1764.665,2176.95,2186.68625,1914.255,2142.82375,1550.99875,1315.8225
"W6",522.7155,574.088375,543.016125,637.0325,651.455125,786.4755,722.83775,833.199875,1274.19875,1080.16125,972.637375,801.133125,687.906875
"W7",3526.94125,3027.47875,2721.87125,2346.03,4550.1125,3197.035,3051.11375,2199.15375,6996.14,7217.28375,3756.22,2838.895,3017.4675
"W8",3960.9725,4452.0825,5575.8875,4310.2675,6500.665,5350.85875,5308.87625,4088.37375,4824.3,6726.10125,4342.25875,3405.23875,3227.99875
"W9",8254.56625,7950.295,9045.14625,8472.445,9637.5075,7875.715,8217.81875,9890.43375,10009.67125,10018.26,7957.995,7290.32125,7262.48875
"W10",5020.0075,5037.49,4953.8625,5433.73875,5339.3175,5350.055,5406.09375,5330.95375,5277.70125,5066.18625,5019.7925,4899.9475,4794.6675
"W11",373.291625,349.095375,358.884125,353.245,402.987625,473.9745,365.656375,367.50825,390.419125,436.34525,395.922375,370.271,392.539625
"W12",1040.615,1067.1425,1078.6375,1072.88875,1061.62625,1058.24,1054.11625,1046.855,1040.59,1032.64375,1041.38125,1046.05125,1043.82875
"W13",2354.4475,2346.9125,2395.10375,2421.42875,2415.95,2428.23875,2512.08125,2522.77125,2500.45875,2412.5575,2531.26875,2588.71,2579.6875
"W14",2271.99375,2320.68625,2329.2,2328.1075,2358.5025,2417.6875,2423.585,2460.05,2481.28625,2432.34625,2512.30625,2688.2575,2428.43625
"W15",4304.0525,4558.27375,4806.43,4447.7575,4152.58625,4485.71875,4236.855,4098.6275,3953.21,3506.85125,4964.89625,6690.91,4341.0325
"W16",4415.55,4636.83875,4803.87125,4453.905,4233.63625,4492.60875,4243.95375,4181.89,4293.55,4257.8075,5300.3225,6961.16125,4442.11875
"W17",11976.4625,11921.575,11993.475,11928.025,11894.125,12023.6125,11905.475,11948.775,11981.65,11842.925,11809.925,11795.475,11907.2
"W18",4330.0775,4356.895,4384.88375,4373,4369.44375,4288.6675,4318.845,4246.97625,4311.10375,4335.38625,4367.015,4368.25875,4392.14
"W19",2866.6125,3246.73375,2692.26625,2852.185,2649.23875,3767.90375,3032.275,3210.81875,3673.8625,7567.5475,6938.21125,4096.41875,2971.47375
"W20",3967.5525,4263.81125,3898.80875,3896.37125,3006.1275,4225.0075,4009.265,3776.09125,2726.62,3610.28125,5629.85375,4712.7875,4163.2875
"W21",2427.30375,2236.28625,2182.4575,2691.97375,2998.66,2598.60875,2253.11875,2746.62125,3517.04125,3444.9325,3383.53875,2333.4525,1917.7275
"W22",3307.63625,3383.51625,3159.58625,3088.2625,2727.86,3463.16625,3027.55125,3761.75875,2529.3675,3040.61125,4429.3,3675.54,3105.95625
"W23",740.734625,762.31525,754.098625,719.796125,555.94575,771.5245,740.935625,737.2385,540.806125,753.135,1054.01,923.657,795.941625
"W24",7019.85375,8100.53375,7053.215,6827.535,6677.8525,12736.3125,7812.615,7490.85125,7465.42,20538.425,17701.65,10317.08625,7142.825
"W25",1430.675,1700.10375,2042.35,2338.8775,2424.53375,2733.05125,2419.36,2487.515,2553.54875,2697.70875,2797.9675,2223.42,1930.88875
"W26",2921.61375,3178.8325,3140.105,3774.68625,3616.0475,4309.6275,4048.9975,4512.815,4739.73625,5491.05625,8458.30625,4126.055,3782.04875
"W27",2019.7975,2618.2775,2012.0325,2621.8675,2682.625,3048.4125,2520.41,3326.5675,3651.6925,4287.00875,4183.09875,2694.7725,2458.70375
"W28",5310.63875,4549.24875,5065.59875,6382.44625,7342.86375,6040.6075,5368.1725,9120.11,13966.6875,11359.6875,9340.455,5860.68875,5421.63375
