"id","V2","V3","V4","V5","V6","V7","V8","V9"
"Q1",6934.9025,6825.9575,6935.5025,6919.9125,7050.15,6948.015,7071.4425,7041.195
"Q2",7155.5625,7087.67,7205.6725,7184.87,7285.3225,7245.26,7375.79,7332.0975
"Q3",7246.7875,7180.8625,7218.7175,7178.285,7278.8525,7214.61,7274.89,7226.515
"Q4",7738.46,7764.68,7793.9775,7771.8475,7806.475,7846.005,7894.4475,7854.76
"Q5",959.68175,840.244,1141.02,1399.125,989.43825,860.1825,1158.335,1407.78
"Q6",9816.0075,9730.255,9815.9875,9855.8425,9851.5275,9783.795,9876.0675,9924.9675
"Q7",3376.47,3355.9525,3352.465,3366.6675,3381.94,3359.3225,3352.6325,3370.99
"Q8",2599.525,2558.2075,2603.4325,2630.1975,2613.94,2572.3125,2612.46,2641.57
"Q9",2497.925,2471.9775,2487.245,2500.205,2496.8375,2473.2775,2486.735,2502.74
"Q10",2558.1,2538.19,2559.87,2557.095,2556.21,2540.64,2566.0925,2563.63
"Q11",1169.4775,1160.7325,1157.285,1156.765,1170.8225,1163.9425,1160.1425,1159.9
"Q12",3149,2947.31,3223.6725,3406.015,3176.7325,2958.9725,3236.3575,3409.445
"Q13",1762.585,1760.755,1780.1525,1782.305,1804.435,1800.5375,1816.445,1819.735
"Q14",12340.5,12226,12294.875,12592.4,12693.55,12630.95,12685.1,12973.85
"Q15",1192.31,1158.5275,1263.1375,1291.465,1224.0825,1185.785,1290.105,1312.125
"Q16",2027.62,2036.4125,2127.79,2121.735,2102.0675,2105.0725,2212.6225,2201.035
"Q17",2451.195,2474.2975,2425.535,2485.24,2481.785,2508.03,2457.2025,2516.6025
"Q18",4649.2025,4443.2175,4867.905,4747.615,4681.9925,4454.4175,4887.785,4745.32
"Q19",5740.4525,5709.2825,5788.3075,5808.005,5753.4475,5730.245,5819.5975,5845.23
"Q20",6300.5975,6300.115,6286.6675,6371.285,6354.595,6350.3875,6341.64,6429.8325
"Q21",9738.825,9686.8925,9758.9725,9822.2775,9745.715,9705.17,9786.09,9870.3925
"Q22",5061.94,5074.085,5186.7375,5247.19,5127.805,5151.25,5264.8425,5335.9125
"Q23",5957.5075,5840.18,5990.215,6058.645,5943.5975,5840.95,5986.03,6054.7375
"Q24",2307.38,2292.5525,2336.3025,2328.9,2312.325,2295.9925,2337.51,2326.3725
"Q25",1358.93,1355.575,1382.0925,1375.6875,1354.7725,1352.675,1379.3925,1369.8425
"Q26",7504.735,6855.655,7620.7925,9099.83,7511.4425,6922.07,7694.84,9189.3625
"Q27",9145.17,9040.5375,9234.32,9278.985,9223.6925,9081.0675,9263.7575,9289.58
"Q28",5179.4075,5180.23,5079.615,5013.325,5222.7725,5247.99,5151.7875,5084.3625
"Q29",1955.8425,1921.59,1888.775,1883.695,1963.22,1926.825,1904.7075,1897.665
"Q30",3126.8475,3141.8825,3082.3525,3095.9475,3143.5525,3161.6275,3103.7325,3117.2375
