"id","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"D1",2033.6775,2028.18125,2035.20375,2035.56625,2036.33875,2038.74375,2037.46,2038.51125,2033.2225,2039.22,2038.85,2038.85625,2038.72375,2038.4675
"D2",2964.45875,2955.605,2968.81,2979.16625,2983.59125,2991.44375,2981.59375,2976.3025,2965.68625,2976.66625,2983.025,2984.2275,2989.54625,2982.45125
"D3",1122.6875,1120.72625,1118.18875,1118.16,1117.28375,1115.99625,1129.08875,1129.62625,1123.6775,1120.22,1118.7875,1116.56,1114.92125,1131.2
"D4",1209.96,1212.165,1207.94625,1193.66125,1187.515,1178.63125,1238.49375,1231.335,1214.09375,1203.79125,1191.01625,1183.02,1175.47875,1251.31875
"D5",5872.18625,5875.83625,5882.79,5905.9675,5900.92125,5897.835,5895.17125,5885.255,5893.13625,5899.07875,5917.11375,5911.7375,5902.15,5893.79875
"D6",3029.13375,3072.735,3043.255,3068.45625,3080.425,3121.2825,3117.79375,3046.79125,3079.05375,3050.625,3068.80375,3082.04375,3117.74,3116.365
"D7",6403.495,6322.81625,5247.37375,5321.37625,4942.27875,5711.15875,5302.99,6206.77875,6218.08625,5336.99625,5454.15375,5056.185,5624.4925,5316.6975
"D8",1732.89125,1728.0025,1741.11,1739.3675,1737.11375,1736.7175,1739.7925,1739.975,1734.55875,1744.305,1742.54875,1739.03625,1738.1075,1740.92625
"D9",1585.28,1580.6575,1592.9125,1592.1225,1589.5875,1589.68875,1591.27375,1590.5725,1586.0475,1595.5125,1595.09375,1591.78,1589.87875,1591.975
"D10",2628.45625,2635.53,2634.0125,2639.2325,2641.3275,2639.95,2630.2975,2640.03875,2644.03375,2638.1275,2641.5675,2644.29,2641.23375,2632.41625
"D11",2435.8925,2435.2175,2433.62875,2438.9325,2416.75125,2434.935,2450.96375,2441.82375,2438.78125,2436.38,2440.45125,2419.6,2435.67125,2450.76875
"D12",3673.2275,3665.18875,3694.335,3686.7525,3672.815,3697.28125,3680.82625,3683.7025,3677.465,3700.92,3692.41875,3678.0175,3694.21875,3681.79625
"D13",7199.45125,7219.79875,7243.00625,7344.8725,7314.0725,7249.84125,7270.4675,7231.79625,7251.68,7269.22875,7352.29375,7318.23,7250.20125,7268.565
"D14",5659.13875,5668.16375,5654.945,5674.14375,5695.3375,5718.705,5701.275,5683.06,5684.57125,5665.74125,5682.52125,5704.7975,5720.55375,5699.025
"D15",8354.0025,8761.255,8384.5275,7827.38875,7947.59125,8102.1775,8025.92125,8313.44875,8690.11,8375.11375,7896.665,8018.76375,8097.81375,8014.95625
"D16",3084.01125,3082.36125,3067.0275,3091.7025,3081.54125,3060.56625,3085.94875,3096.6925,3091.4125,3075.0225,3095.76375,3085.3325,3064.45625,3089.06625
"D17",4044.785,4047.6025,4065.89375,4072.1625,4067.31125,4072.06875,4053.46,4054.36125,4060.32375,4073.725,4077.19125,4072.17375,4071.13125,4054.29875
"D18",9574.8775,9595.665,9654.145,9580.225,9573.2275,9581.73375,9571.78625,9603.235,9614.88625,9664.95625,9590.75125,9589.2,9591.04625,9583.69125
"D19",2672.49625,2684.68875,2704.55125,2685.0825,2752.795,2714.92,2700.51,2684.58,2694.43125,2712.39,2689.36125,2749,2714.0825,2700.6475
"D20",10843.6875,10818.1625,10858.1,10854.1375,10862.9,10888.2375,10869.325,10871.675,10844.6625,10879.3375,10866.4,10871.225,10889.9375,10876.7875
"D21",2663.81,2675.31625,2695.70625,2674.3725,2742.0325,2702.41375,2690.3525,2674.3875,2685.17375,2704.745,2679.2975,2741.01125,2702.00625,2689.37875
"D22",2848.51875,2869.965,2903.025,2897.2525,2915.36,2897.12875,2871.86375,2866.31625,2878.88375,2911.34625,2900.56375,2914.545,2895.59625,2875.44875
"D23",1915,1927.52125,1942.82125,1943.1325,1950.58125,1933.04875,1929.99375,1918.5525,1929.03625,1947.58125,1944.16875,1950.46,1932.97625,1931.2225
"D24",2539.05125,2559.3025,2587.86625,2585.79125,2599.835,2582.43375,2559.49875,2553.7475,2565.7,2594.76,2587.19875,2600.15875,2582.585,2562.2075
"D25",1587.06625,1597.6975,1609.4525,1610.29625,1614.8625,1601.0775,1599.04125,1590.92125,1599.30875,1613.0875,1611.2,1615.13125,1601.29875,1599.83375
"D26",2362.285,2381.125,2406.35,2405.76375,2417.74625,2401.775,2380.79125,2375.85,2386.95125,2412.3675,2406.6675,2418.0125,2402.44,2382.37625
"D27",1708.09625,1720.03,1733.53125,1734.7425,1740.04,1724.06125,1722.12125,1711.01625,1721.60125,1737.88,1735.76875,1739.80875,1723.6175,1722.555
"D28",427.436375,430.526375,430.497625,429.77975,429.858375,426.185875,425.49625,427.62,431.569125,431.933,431.095625,431.3195,426.904375,426.0545
"D29",6410.7025,6454.42875,6418.96,6426.76875,6439.2125,6446.465,6426.6625,6424.92,6467.02375,6432.81125,6436.15875,6447.225,6447.4425,6422.18375
"D30",613.68925,617.97875,618.390125,617.801375,617.978,612.251125,610.999125,613.880125,619.041375,620.114375,619.57225,620.09775,613.379125,612.077
"D31",2121.9025,2093.68125,2109.79625,2131.76,2164.78,2132.02125,2130.24125,2124.36375,2098.94625,2116.58125,2136.00125,2165.85625,2132.96875,2135.59875
"D32",1928.08625,1904.98375,1917.92875,1934.50375,1966.41125,1936.1325,1932.61625,1931.9125,1911.5475,1926.88,1939.59,1967.4225,1935.26375,1935.205
"D33",6698.695,6701.415,6859.89875,6823.07875,6804.79875,6793.89,6776.3375,6716.9975,6733.6425,6873.72875,6837.115,6818.4975,6795.245,6782.8875
"D34",2275.335,2275.115,2298.8925,2296.695,2292.55375,2289.67125,2287.61375,2281.01625,2278.9425,2304.97875,2299.88125,2295.22,2288.90125,2286.43
"D35",1665.28875,1676.545,1663.06125,1661.75375,1651.41875,1663.68,1668.06875,1677.5275,1685.35125,1668.3625,1662,1648.87,1663.3875,1671.9
"D36",3785.11125,3776.7375,3771.86125,3765.8325,3837.64625,3812.03375,3794.53625,3794.16875,3786.3475,3781.975,3774.8075,3837.06375,3810.5325,3799.51125
"D37",2458.3975,2499.68125,2492.3425,2508.72875,2536.1525,2490.60625,2454.7875,2467.405,2506.35875,2499.9025,2510.9,2534.63875,2488.895,2457.32625
"D38",2252.83375,2321.4975,2259.13375,2335.43125,2374.05,2271.38375,2300.215,2265.9875,2325.3675,2266.25,2337.58,2365.95875,2271.2775,2300.7875
"D39",2463.975,2472.975,2498.13,2527.50375,2572.49875,2531.205,2532.53625,2473.30875,2489.6025,2505.19875,2533.6525,2571.09875,2528.67125,2532.4475
"D40",3919.12875,3932.7975,3960.05,3954.7875,3934.23125,3913.8125,3914.29,3933.78625,3946.08,3972.06125,3962.2175,3938.96,3915.30375,3917.6525
"D41",6607.6375,6690.11,6408.055,6480.6,6534.415,6574.12,6561.1575,6634.95,6702.03125,6444.97875,6516.36875,6548.86125,6578.3975,6559.135
"D42",7017.96,7075.5125,7075.965,7093.47375,7069.24875,7107.01125,7007.665,7049.44125,7087.9175,7073.74625,7094.68625,7071.0025,7109.10375,7016.98125
"D43",1128.2725,1128.8225,1133.47125,1132.1225,1122.945,1124.16125,1129.7825,1131.98875,1131.18125,1135.335,1133.06,1125.15375,1125.2125,1130.34625
"D44",8566.53875,8587.885,8585.99125,8584.07125,8574.17375,8618.9325,8606.24625,8588.68625,8601.22,8602.8925,8594.3425,8584.24375,8618.52625,8614.0975
"D45",1119.81625,1120.62125,1124.99125,1123.53125,1127.91125,1127.045,1124.9675,1124.105,1124.32125,1128.07125,1125.59625,1129.31625,1126.94375,1125.375
"D46",10087.2625,10117.9625,10230.3125,10162.0625,10240.0875,10233.3875,10213.2625,10147.85,10165.5125,10255.0375,10184.5625,10257.425,10246.3625,10230.95
"D47",1019.605,1022.885,1023.17375,1018.44,1018.67125,1020.31125,1013.92625,1021.9025,1023.885,1023.81375,1020.3775,1020.99,1021.48375,1014.815
"D48",10477.95,10519.7375,10563.2125,10543.7875,10445.075,10438.0625,10490.3875,10518.325,10536.6625,10575.0625,10551.675,10466.8625,10448.9,10501.475
"D49",11086.025,11104.2,11151.6125,11133.0375,11033.6625,11044.65,11093.3,11126.8,11125.8,11168.55,11144.8875,11048.3125,11051.7,11101.7625
"D50",9877.04125,9907.5025,9993.0925,9930.6325,9993.46375,9978.325,9939.645,9886.85625,9916.56375,9991.05875,9943.09,10011.54125,10013.25375,9981.73375
"D51",1016.265,1020.90375,1031.70125,1024.26375,1031.10375,1029.78,1027.2925,1021.90875,1025.2425,1034.22,1026.71125,1032.9125,1030.8425,1028.14875
"D52",2899.2475,2897.49375,2938.60875,2898.01375,2885.57125,2889.41375,2898.2475,2909.28875,2902.01625,2941.64,2895.99125,2887.36375,2890.72875,2901.805
"D53",1106.015,1106.54875,1111.3175,1108.74875,1110.505,1112.99375,1111.815,1109.74375,1109.20375,1113.95125,1110.25125,1111.62625,1112.8375,1112.36
"D54",2827.76625,2839.6825,2836.535,2844.39625,2835.6175,2837.3175,2828.48625,2836.10125,2846.975,2843.4775,2847.12875,2838.5625,2837.31125,2830.44875
"D55",1080.28375,1081.325,1081.38125,1082.0675,1081.25125,1085.10375,1081.59875,1084.1375,1084.55875,1083.905,1083.7,1082.83125,1085.09,1082.59125
"D56",10489.55,10492.325,10551.275,10530.3875,10571.85,10580.825,10576.95,10529.9625,10520.225,10569.1875,10546.8,10584.3125,10578.3875,10580.825
"D57",1715.155,1719.81875,1723.70875,1715.7575,1707.84875,1710.2975,1720.5975,1722.16125,1723.965,1726.88,1716.4375,1709.695,1711.225,1721.62125
"D58",1675.3175,1688.43375,1687.59625,1688.0325,1677.95625,1670.19625,1679.09875,1681.93125,1691.33875,1691.455,1688.3775,1678.3025,1670.36375,1680.00875
"D59",4920.32625,4938.38875,4978.74125,4957.14,4929.5525,4954.64625,4933.39,4941.17375,4955.23875,4988.72875,4964.44,4938.63875,4958.24375,4939.135
"D60",4118.845,4097.32875,4101.695,4100.38125,4088.095,4116.08125,4087.89375,4126.8775,4108.61625,4111.82,4106.18625,4093.93125,4114.3325,4089.48125
"D61",3701.66375,3713.62375,3675.565,3696.93375,3662.065,3683.895,3678.995,3695.325,3707.3825,3684.78625,3705.5725,3672.4525,3687.4775,3681.21375
"D62",5722.08,5726.71375,5703.185,5700.545,5658.9225,5664.54625,5674.01,5736.4425,5732.17875,5709.6825,5701.9925,5669.965,5671.5375,5679.52875
