"id","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"W1",36348.55,36386.8625,36460.7375,36438.7375,36237.525,35754.425,35793.0375,35527.4875,35597.775,36013.475,36168.725,34923.3,35072.1
"W2",3610.47875,3622.22875,3639.915,3586.5375,3613.63125,3583.06625,3528.19,3520.635,3549.44125,3631.86875,3581.16,3501.0375,3459.1175
"W3",9816.14625,9856.50375,9796.23,9663.06625,9726.7425,9928.04125,9878.92125,9745.37375,9732.4825,9942.835,9950.395,9795.8675,9627.38875
"W4",2160.27125,2265.76,2366.97875,2615.3175,2478.62,2750.0625,2629.55875,3363.985,2833.74625,2986.4275,3361.00125,3964.66625,4347.1375
"W5",1600.8675,1630.40125,1645.86125,1733.73,1742.5025,1898.37125,1766.89875,2183.38625,2213.865,1915.02375,2165.22,1567.8175,1331.4075
"W6",522.426375,576.366625,548.456125,631.518125,651.410625,787.368875,716.006125,834.105875,1281.70875,1091.708375,978.824375,814.35025,687.56425
"W7",3464.5675,2949.97375,2696.98875,2272.70625,4651.6725,3170.78,3039.0825,2205.245,7029.79875,7429.7775,3762.81125,2797.1825,2979.6325
"W8",3988.03125,4472.27,5467.78,4305.4575,6433.7075,5058.9175,5175.13,4005.49375,4830.6775,6737.77375,4427.56625,3365.77875,3187.9575
"W9",8214.33125,7938.4225,9021.82375,8379.3075,9580.25625,7905.06875,8198.83125,9856.26875,9808.275,9952.96,7915.94125,7327.145,7200.76
"W10",5069.02,5015.44375,4961,5497.76625,5385.1125,5373.77125,5360.5675,5349.525,5279.7775,5161.785,5102.68625,4927.77,4820.41875
"W11",368.82175,344.816,355.45625,347.509875,397.934375,464.838625,353.303875,363.017375,390.242625,426.97075,386.838375,356.084875,389.1605
"W12",1041.32875,1065.005,1084.75125,1076.7675,1067.1175,1061.36625,1054.48375,1051.33875,1035.63625,1036.11125,1048.57375,1050.45125,1044.05
"W13",2323.1575,2346.55125,2368.04125,2400.33125,2390.31625,2421.39,2494.07,2501.9025,2480.705,2389.15125,2510.6625,2582.8975,2577.815
"W14",2274.3625,2321.93625,2332.28,2328.55875,2346.5025,2420.89875,2436.2225,2457.4925,2476.65875,2442.3675,2535.16875,2686.31625,2410.9325
"W15",4448.13125,4696.99625,4855.385,4488.57,4263.17125,4595.965,4272.025,4184.76,4039.105,3725.60375,5257.09625,7094.6725,4418.5875
"W16",4368.235,4693.02875,4833.72625,4462.97875,4253.34375,4609.11,4279.6375,4232.32625,4349.61,4314.86875,5294.9675,7153.72,4428.1725
"W17",11939.1375,11918.65,11943.525,11894.9875,11889.725,11893.0375,11976.7375,11995.925,11944.3875,11857.7375,11858.975,11988.3375,11891.7
"W18",4331.97875,4387.39125,4386.65875,4384.88125,4366.13,4313.645,4321.03375,4293.83375,4323.91125,4371.365,4396.01625,4338.21875,4341.3575
"W19",2836.3675,3238.4375,2690.465,2877.215,2680.6025,3759.81375,3010.355,3225.9875,3652.235,7416.54125,7003.71125,4161.22375,3013.89375
"W20",3939.33,4254.74625,3878.98,3895.49375,3003.06375,4198.4475,3949.5225,3786.73,2706.77625,3572.995,5606.99,4691.285,4160.31875
"W21",2383.375,2207.76875,2167.19875,2671.05625,2962.28125,2571.4075,2219.86875,2711.10375,3433.03625,3362.52875,3370.44,2297.82875,1881.0025
"W22",3373.87625,3432.89875,3195.875,3115.77125,2759.23875,3502.31125,3085.5125,3773.46875,2532.37125,3022.7425,4438.895,3619.0625,3104.14125
"W23",743.661,760.948125,758.103,730.6775,552.3135,777.63625,748.45625,750.754625,539.635125,754.218125,1053.1275,922.859125,792.077125
"W24",7108.7325,8236.5075,6987.11375,6824.89375,6625.71875,12706.1375,7727.09875,7405.12375,7425.875,20945.175,18738.65,10371.8725,7123.9475
"W25",1451.1975,1676.40875,2016.6475,2314.00375,2418.89,2762.03625,2446.235,2534.78375,2637.37625,2801.4425,2907.19625,2291.97125,2000.34875
"W26",2863.68125,3159.0025,3142.73875,3748.8825,3618.6275,4227.25,3980.2025,4507.47125,4720.2375,5490.9975,8453.75375,4097.99125,3752.545
"W27",2026.47,2656.75,2051.735,2653.01,2733.39,3089.35,2540.94375,3375.39625,3699.27,4292.62,4234.79625,2761.7525,2486.4375
"W28",5426.5925,4666.88125,5053.235,6191.4875,7412.39,5966.10125,5441.0625,9072.6425,13705.725,11431.1125,9296.1775,5812.33875,5427.2525
"W29",910.047875,1100.4725,982.67325,1008.567625,1026.308125,1500.9,1319.02125,1259.5225,1072.695,1660.13,2124.78,1335.93,1024.976375
"W30",3670.96,3891.73125,3511.68625,3890.92125,4021.43125,4487.88625,4028.16375,4683.6325,6723.06375,5312.75875,6255.87875,4686.8725,4194.345
"W31",892.947,961.408375,1056.23375,1270.61125,1445.46625,1586.84875,1309.3225,1801.44,1927.995,1774.4275,1652.72875,1263.96625,1133.2975
"W32",4834.8725,4261.465,5515.3975,4719.66875,6564.73375,5167.03,5686.21125,6408.6825,7275.52125,6772.3075,6346.96375,5073.28875,5228.24125
"W33",1716.64,1647.68875,1923.67875,2089.53625,2774.71125,2032.16625,2148.01,2778.0275,3479.8725,3399.1875,2232.16625,1895.915,2098.59125
"W34",1538.4725,1489.28,1575.9225,1373.47125,2036.02,1796.84125,1866.24625,1511.1575,1720.06625,2513.8925,1697.04625,1421.5825,1446.79
"W35",1192.01375,1213.965,1223.5525,1073.3125,2130.94125,1921.18625,1471.13125,1156.625,1254.85125,2551.68875,2133.65625,1534.155,1623.46125
"W36",16103.2375,14897.95,13515.4875,14731.3625,12442.9625,10783.325,12460.3,15379.4625,19168.75,16693.8125,13465.25,14070.775,18067.0625
"W37",2913.74375,2977.63125,2969.065,2956.51375,3009.3125,3001.13625,2977.395,2991.7125,2987.90625,3003.10875,3007.61875,2983.735,3023.3775
"W38",3156.76375,3223.86625,3189.41125,3195.70125,3183.3,3213.7075,3212.59125,3261.08,3273.605,3274.07875,3267.7475,3257.51375,3266.1325
"W39",5818.985,5831.125,5807.94,5791.5725,5740.08375,5744.74625,5745.1125,5780.95,5785.2575,5767.6425,5759.4625,5751.90875,5798.6475
"W40",5838.475,5823.7975,5796.245,5747.26875,5756.7775,5737.86375,5753.65125,5752.79125,5762.09125,5759.225,5774.53125,5744.27,5745.59125
"W41",6210.97875,6267.64,6303.2525,6233.9675,6182.69125,6147.55375,6109.805,6214.90625,6288.26375,6364.15625,6320.875,6357.95125,6333.89375
"W42",6181.6675,6284.56375,6310.69875,6228.71125,6202.59125,6122.01375,6138.25625,6218.085,6267.75,6358.6275,6333.945,6338.975,6322.8525
"W43",6161.80875,6283.40375,6318.7775,6202.865,6178.175,6092.15625,6098.3225,6171.90625,6267.55875,6321.45125,6295.29625,6337.10375,6290.21375
"W44",5876.8725,5861.065,5846.95875,5803.5,5786.46,5769.975,5769.3225,5817.7575,5840.725,5816.17125,5825.6925,5787.705,5794.90375
"W45",2950.6575,3016.07625,2987.72125,2953.355,2901.88125,2941.315,2930.02625,2976.3175,2997.3,2970.3825,3009.43125,2974.56375,2908.285
"W46",3386.735,3482.63875,3458.71375,3328.8325,3282.31125,3232.23375,3252.095,3213.845,3219.0875,3225.02,3254.3575,3301.935,3228.975
"W47",2952.9475,3010.93125,2990.6725,2955.61875,2896.89875,2949.43375,2956.49125,3002.5925,3008.5575,2966.1875,3008.59,2955.3425,2903.105
"W48",3119.60625,3127.9575,3071.1825,3051.4275,2961.925,2949.9825,2901.91,2880.74625,2921.98375,2915.63625,2953.65375,2909.0675,2903.65875
"W49",3293.0375,3377.5275,3327.36375,3297.6775,3229.17375,3273.32625,3264.34375,3266.18,3273.605,3304.2925,3338.715,3311.03875,3182.555
"W50",3274.88875,3362.75625,3329.37125,3312.58625,3240.7,3288.925,3270.97875,3275.305,3301.2675,3315.045,3330.98875,3306.045,3202.65875
"W51",6557.34625,6643.47125,6578.90625,6517.105,6490.49375,6455.67625,6378.17125,6423.83875,6392.4725,6400.1775,6419.01625,6460.60375,6450.10375
"W52",7138.03375,7247.22,7189.80625,7025.86875,6923.72625,6926.17625,6920.0425,7051.035,7075.3425,7054.48125,7102.80125,7174.965,7158.17375
"W53",1904.205,1980.3175,1761.09,1801.51125,1878.0575,1856.135,1972.945,2001.06625,2021.6425,1856.3275,1981.13125,2057.1225,2056.86
"W54",2482.78375,2511.28,2461.9,2459.45,2472.2425,2494.42875,2473.0075,2500.37125,2531.98625,2564.57625,2598.37,2591.305,2581.82
"W55",4814.39875,4740.8025,4794.46625,4612.86875,4508.08625,4424.07,4353.4175,4094.27,3989.55125,4057.73875,4045.19625,3851.45125,3740.42375
"W56",3022.54125,3064.17375,3120.68125,3208.58375,3241.70375,3355.29375,3459.4275,3573.6825,3610.87625,3695.2625,3750.05625,3763.65,3763.99125
"W57",2116.74875,2044.4325,1964.21375,1895.7075,1837.47625,1775.58,1733.08875,1700.3575,1631.47375,1577.29625,1541.17625,1521.97625,1497.16875
"W58",3388.95125,3311.3025,3293.90125,3269.2275,3239.3375,3221.5825,3266.3275,3281.5225,3235.04625,3199.265,3115.4025,3037.585,3036.75
"W59",2158.22,2078.15,2370.57,2354.32875,2636.545,2512.32125,2496.83125,2521.72125,2673.4675,1999.08375,2113.2,2229.4175,2128.74875
"W60",8977.39625,8964.49,9022.53875,9098.9375,9222.2575,9204.95,9216.76375,9220.0775,9209.7875,9236.5125,9319.64375,9256.25375,9349.92
"W61",9838.03625,11775.5375,11794.275,10425.0125,10313.6125,11187.5875,11351.0875,11109.45,10945.6125,10370.025,10366,10698.275,10581.275
"W62",7230.15625,6996.75,6996.14125,7020.4475,7031.73125,7084.23875,7104.93875,7260.4125,7281.29,7573.535,7572.6475,7685.04875,7654.29125
"W63",6004.73875,6166.65625,6123.22375,5929.25125,5927.01625,6204.16875,6204.16875,6285.13625,6254.005,6413.99125,6474.94375,6623.155,6596.265
"W64",12605.875,12118.8375,12986.8,14277.725,14416.7,12514.9,12843.0625,13801.8625,14397.775,12680.55,13285.5375,14745.0875,15929.675
"W65",17975.175,17289.55,18341.775,19673.0875,19912.9125,17666.025,17954.8,19314,20037.8875,17945.85,18561.9,20237.525,21592.7
"W66",7529.51875,7640.94125,7512.67125,7350.06375,7437.04625,7680.075,7639.05625,7510.65625,7516.0625,7726.99125,7731.00375,7559.18375,7414.7825
"W67",13297.975,13424.55,13432.375,13722.775,13784.3625,13678.5875,13663.6625,13667.6,13622.225,13499.1375,13636.15,13818.2875,13842.575
"W68",6926.74625,6897.4075,6902.43375,6883.92375,6873.63125,6752.23125,6803.08375,6727.21625,6728.25625,6685.69875,6675.42875,6663.60875,6704.765
"W69",6900.2475,6939.3075,6897.74375,6903.55125,6788.42,6792.34,6764.255,6725.29,6719.635,6719.315,6680.57625,6700.26,6705.9225
"W70",2588.75875,2584.78125,2572.555,2583.335,2573.68625,2579.215,2636.6675,2637.55,2639.0525,2626.95625,2612.55375,2608.27625,2607.8975
"W71",1980.37625,1958.5375,1941.33625,1951.03125,1954.30125,1934.80375,1941.2275,1925.19875,1931.99125,1914.67625,1919.24875,1927.38125,1927.01875
"W72",1961.21625,1957.7625,1941.3075,1939.0425,1952.1075,1938.1875,1936.8475,1924.00875,1930.96,1921.54375,1922.01375,1927.5325,1932.5875
"W73",1974.7675,1943.9425,1947.215,1951.08625,1952.01,1935.42625,1940.715,1923.3475,1932.95,1913.83875,1909.395,1921.27625,1940.7575
"W74",4568.21125,4476.62375,4599.0925,4978.35125,4042.38125,4120.7175,4428.44875,4352.04625,4084.695,4324.92,4976.5725,6019.6025,6061.6975
"W75",24584.9125,24774.45,26486.35,26075.1875,25569.45,25097.075,25419.7375,24177.325,24530.375,25347.175,25964.5625,27921.95,25612.7375
"W76",523.121875,568.38275,570.030125,557.573875,457.356625,470.887,485.68675,497.067625,495.300375,511.14975,519.3865,519.3095,525.422125
"W77",3300.20375,3760.10875,3394.5525,2612.465,4023.235,4673.35125,5334.59,4952.4175,4796.0725,4042.38125,5049.795,5244.9575,4974.38875
"W78",3455.63,3697.535,2994.10875,2917.44875,3975.185,4557.795,4620.36,4732.9975,4914.695,5429.82875,5133.41125,5778.19625,4850.63375
"W79",1440.85875,1370.13625,1480.9575,1486.02125,1465.83,1469.71625,1415.13375,1445.38,1466.04,1436.2575,1444.9875,1480.8725,1524.63875
"W80",1376.225,1465.49,1509.02625,1481.49625,1493.7375,1428.665,1431.6,1484.585,1439.87625,1470.9825,1497.83125,1537.09,1578.465
"W81",24758.0375,25060.25,26249.6375,27032.825,26025.125,25841.525,25634.6125,25485.475,24656.0375,25725.8375,26088.4125,27738.25,27638.4
"W82",4439.82875,4437.55625,4437.67,4439.3225,4457.8125,4456.82125,4465.0425,4445.51375,4450.12125,4483.3125,4505.0275,4492.495,4494.71375
"W83",6063.40125,6078.755,6082.05625,6064.48875,6073.21375,6088.035,6087.83125,6137.6975,6080.775,6122.7575,6090.18375,6070.8025,6050.56375
"W84",5940.245,6042.775,6064.23625,6066.75625,6064.8825,6078.89,6134.725,6125.73,6081.225,6094.31,6092.99375,6096.19875,6063.665
"W85",17293.3,17260.825,17206.675,17216.6875,17166.3625,17196.7625,17327.525,17198,17085.6375,17143.3,17174.9625,17132.9,17024.075
"W86",17250.1875,17211.8375,17141.1,17186.9625,17198.9625,17174.425,17157.2,17175.6375,17163.475,17191.575,17076.3875,16999.5,16865.575
"W87",1085.4125,1083.80125,1083.545,1083.95125,1086.69,1086.9325,1091.87875,1080.70125,1089.5925,1092.2425,1088.32,1090.56375,1083.52
"W88",12043.925,12078.5125,12044.8,12053.7625,12000.3125,11966.4875,11980.95,12070.125,12103.9625,12046.25,12222.4875,12443.3,12406.25
"W89",1246.98375,1271.24875,1259.6475,1290.825,1331.7625,1333.48,1249.3825,1263.8525,1272.235,1296.25,1273.33375,1255.2725,1219.86125
"W90",1922.785,1919.6275,1942.665,1936.86,1942.61375,1939.16,1938.42875,1947.9,1924.445,1923.6,1917.415,1938.105,1877.49875
"W91",20291.9375,20364.95,20699.8,20687,20676.4375,20661.075,20601.375,20699.975,20568.375,20558.6875,20474.3625,20616.15,20009.125
"W92",24165.825,24668.7625,24417.65,24456.75,24532.5875,24563.875,24190.6625,24280.525,24136.7875,24654.7625,23815.7125,23134.8125,21963.3125
"W93",1734.24125,1730.78625,1730.145,1735.96375,1759.4825,1757.6075,1739.28875,1745.67375,1755.48875,1756.89625,1748.54125,1747.0075,1757.32
"W94",1765.74875,1736.47875,1715.1725,1738.50875,1759.8425,1761.86375,1795.2825,1818.39375,1794.93,1789.48875,1762.54,1730.175,1735.62625
"W95",1580.45,1553.635,1556.63375,1552.8275,1578.785,1584.3075,1598.08125,1616.6925,1588.21375,1610.0525,1579.7875,1552.78875,1564.39
"W96",11325.9375,11416.3,11347.775,11364.375,11363.2375,11474.95,11442.4,11498.7375,11512.925,11538.6875,11544.15,11639.7125,11639.7125
"W97",505.36425,514.42425,496.6675,514.568875,515.95175,533.8495,505.5135,512.480375,510.219,520.908375,501.80725,483.923375,468.278375
"W98",645.88375,657.94775,642.584625,650.54675,650.148,670.177375,642.211375,650.800125,649.1705,657.3425,636.725,611.764375,610.62625
"W99",15305.3,15264.7625,15207.275,15123.6,15101.9,14985.35,15243.1875,15340.1125,15283.05,15321.4625,15296.55,15415.85,15427.9
"W100",11279.7,11336.3,11273.1,11244.125,11246.25,11362.575,11331.0375,11363.3125,11391.1375,11416.6,11442.375,11491.725,11468.8125
"W101",9797.84,9896.1475,9773.00625,9830.7575,9938.27,10002.37625,9867.6425,9889.78,9954.20625,10033.5425,10026.41,10077.72625,10060.19625
"W102",15792.175,15946.75,15861,15966.375,15944.25,15858.7,15908.5625,16101.1,16178.7,16059.2875,16091.5375,16355.25,16398.75
"W103",4153.5575,4199.60125,4009.86125,4102.38375,4121.69,4222.625,4122.6525,4202.66,4224.0175,4223.86,4132.26125,4110.2375,4090.3425
"W104",1036.9525,1036.4875,1037.1875,1027.26625,1034.44125,1037.09875,1035.3225,1039.19125,1030.545,1038.2725,1031.83125,1037.2375,1033.92875
"W105",9143.24375,9155.05875,9180.17,9235.00375,9197.325,9231.63,9241.2625,9270.605,9287.8525,9291.40375,9268.89875,9278.85375,9234.83
"W106",2146.4825,2142.58,2149.48875,2152.505,2170.6475,2176.49375,2167.05,2165.94125,2172.3275,2183.8375,2166.00375,2172.78875,2180.37375
"W107",23822.4375,23915.2875,23849.7,24088.4,24066.25,24097.6625,24161.975,24181.025,24397.7375,24323.9,24262.925,24324.85,24401.95
"W108",16159.425,16235.9,16221.5125,16238.4125,16291.3,16350.8625,16315.325,16361.7125,16358.925,16515.8125,16428.5375,16365.3125,16192.0125
"W109",14335.6875,14374.2125,14358.625,14467.425,14429.7625,14512.1375,14427.4625,14471.2,14450.2875,14536.4125,14476.9375,14417.8,14341.2375
"W110",7262.9375,7247.21875,7186.47625,7188.03375,7271.72875,7297.715,7421.645,7459.57375,7480.515,7556.90625,7592.21625,7625.1025,7528.03625
"W111",1068.89875,1079.49,1071.4875,1068.415,1075.09625,1077.49125,1079.31125,1077.16125,1078.83125,1083.43,1082.5675,1070.87,1062.13875
"W112",9465.325,9520.01,9497.44375,9508.2775,9509.695,9504.86875,9505.66,9582.14625,9605.66125,9602.3025,9636.54125,9840.02625,9848.2425
"W113",740.461375,760.3135,738.390125,746.535875,773.793,783.7035,715.623125,721.361625,731.9345,747.32925,738.816375,755.616125,762.13575
