"id","V2","V3","V4","V5","V6","V7"
"Y1",7246.21375,7284.97125,7320.68875,7359.12,7400.01,7442.63375
"Y2",1638.6225,1652.3825,1686.01875,1705.25875,1727.64,1746.68375
"Y3",8588.5525,8792.79625,9002.1025,9221.045,9434.42875,9657.85125
"Y4",9898.605,10120.925,10353.1625,10587.725,10823.125,11059.725
"Y5",7125.42125,7360.89125,7601.00875,7851.51375,8083.84875,8327.29375
"Y6",4306.70875,4491.885,4678.1525,4863.0075,5034.67875,5198.31125
"Y7",3953.39125,4090.045,4233.91875,4368.18875,4492.47,4608.685
"Y8",2419.81625,2429.405,2438.03375,2446.61,2452.2825,2454.80875
"Y9",2332.85125,2354.30875,2372.78,2391.29875,2407.2875,2419.81125
"Y10",2396.74875,2421.23625,2441.06,2459.38375,2474.935,2488.4025
"Y11",1508.605,1521.0125,1531.845,1542.1925,1551.695,1558.21875
"Y12",2030.40125,2074.01875,2114.46625,2154.54625,2191.365,2225.3025
"Y13",4681.79625,4804.94,4923.54125,5056.7575,5183.7625,5308.7075
"Y14",5113.44375,5226.38,5341.68375,5466.45625,5578.35375,5696.08125
"Y15",5467.21,5629.355,5788.9475,5959.825,6122.89375,6292.535
"Y16",2536.165,2581.485,2618.34,2667.5,2707.0175,2742.79625
"Y17",3849.8,3942.8475,4034.075,4134.125,4224.2225,4312.445
"Y18",3158.325,3213.52125,3262.86875,3323.01,3373.8725,3421.735
"Y19",3236.6725,3378.58625,3575.60875,3756.4825,3923.08,4122.60125
"Y20",6661.8275,6793.26625,6916.33625,7039.48875,7164.7975,7281.62125
"Y21",9961.3625,10347.1,10737.2625,11126.85,11517.5625,11869.675
"Y22",4869.03375,5056.75625,5286.4525,5501.65,5699.17625,5897.7925
"Y23",10478.7125,10607.3,10767.65,10891.3375,11014.4125,11128
"Y24",9880.1075,10081.44875,10337.0875,10554.675,10762.425,10954.6375
"Y25",2560.3825,2637.7475,2722.36375,2800.26125,2875.25125,2942.39125
"Y26",8053.38,8317.93125,8650.29875,8948.71875,9245.73125,9540.6675
"Y27",1918.86875,1975.83125,2042.7425,2102.5525,2159.55125,2214.5675
"Y28",1865.9875,1918.8975,1979.08125,2032.72875,2085.5275,2138.325
"Y29",4328.45125,4385.08125,4433.315,4477.8275,4519.505,4556.8675
"Y30",4564.99625,4666.53375,4764.65875,4862.75,4950.03875,5033.57375
"Y31",3865.94375,3890.83,3911.1025,3930.08125,3939.45125,3946.16375
"Y32",5519.565,5585.9625,5644.2025,5699.9375,5750.90875,5792.83625
"Y33",1286.105,1302.595,1317.8,1332.86875,1345.83625,1356.17125
"Y34",1720.64,1739.01625,1754.24,1769.64375,1782.4825,1792.57
