"id","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"H1",619.441625,558.055375,524.267625,495.246625,476.311875,466.347125,465.89075,490.785875,497.264875,536.8905,583.9335,646.570375,719.094375,772.924375,809.47775,824.47675,835.601625,825.4685,825.44325,806.691875,776.428,755.462875,727.970625,682.389625,611.394875,548.854125,510.803,480.938875,462.732375,450.813625,452.171375,470.551,481.695,522.508375,575.330625,649.799875,729.399625,791.35275,834.02675,862.31475,859.203625,833.932625,822.313,801.721375,778.5875,735.836375,717.194625,667.492125
"H2",2797.71125,2486.14875,2257.89875,2072.01375,1935.76125,1915.365,1874.3175,1938.64625,2064.77875,2214.95,2392.13625,2599.09,2847.37625,3075.1125,3279.05625,3468.59,3597.20125,3715.20625,3795.84125,3817.48625,3734.2475,3541.85625,3335.41625,3209.685,2905.03875,2563.14125,2299.50875,2095.2125,1970.17625,1867.3175,1850.29125,1907.47125,2031.925,2253.9075,2507.40625,2766.12875,3030.13375,3315.25125,3551.765,3727.47,3867.5,3929.35875,3976.58625,3971.8375,3875.29125,3655.665,3443.3825,3272.675
"H3",1457.315,1394.12125,1250.14,1120.40125,1028.30125,969.01575,939.661125,907.149625,928.25275,983.285625,1068.0875,1154.2975,1211.55375,1254.25625,1306.59875,1346.09625,1389.1275,1426.34875,1465.45125,1490.78125,1522.395,1524.13,1498.5675,1449.105,1413.4425,1372.0575,1237.5625,1113.955,1000.737,942.978375,912.683,888.0185,903.52675,950.478,1026.685,1101.91625,1172.05375,1215.5075,1257.895,1291.06,1327.815,1347.59,1383.42625,1422.7425,1438.11125,1443.7725,1411.6625,1366.695
"H4",5353.64625,5112.08375,4739.625,4350.56,4028.72,3794.27375,3587.3,3473.775,3448.10625,3496.8275,3596.4225,3784.25625,3970.65125,4186.975,4435.6075,4651.31875,4856.5525,5118.885,5357.3775,5615.785,5798.02375,5863.1,5739.3625,5622.0225,5484.715,5211.84625,4832.6825,4477.8625,4212.35125,3978.64125,3785.54625,3682.795,3660.04125,3710.80125,3748.60375,3861.45125,4010.5925,4214.24125,4428.09625,4631.66125,4797.6875,5004.94625,5210.94,5386.16625,5522.99125,5471.055,5278.75625,5154.82125
"H5",3584.88125,3253.11375,2807.93,2421.58875,2144.85875,1980.63125,1873.4625,1798.2,1808.68875,1888.27,1980.375,2122.41375,2258.29875,2374.76875,2642.1875,2813.97625,3021.7075,3231.245,3435.66625,3576.8225,3689.64375,3767.34875,3632.255,3401.75375,3141.74625,2926.035,2579.96,2269.68625,2043.95,1889.85625,1794.76875,1725.36625,1732.1125,1799.4675,1869.34375,1998.3625,2128.25125,2285.95875,2441.65125,2614.95375,2836.46,3088.05,3321.72625,3531.62875,3694.1925,3793.315,3712.1475,3510.90625
"H6",5160.45875,5350.12375,5695.85,6026.595,6309.7975,6513.7275,6683.79625,6821.01125,6959.87875,7120.02625,7207.26875,7240.2725,7352.86375,7414.28,7320.10375,7131.71625,6914.2325,6768.0875,6383.7525,5885.4,5542.13,5269.2375,5051.7325,4947.52875,4961.515,5041.64625,5178.415,5470.1775,5855.47125,6157.99875,6350.92875,6524.75,6664.7,6768.335,6856.47375,6913.805,6969.69125,7033.12125,6970.27,6866.19625,6701.85,6526.66875,6137.71875,5686.22375,5340.34125,5036.81625,4875.7675,4801.9175
"H7",48694.5875,47099.475,44349.3875,40069.725,36102.975,33379.2625,31888.8875,30822.75,30454.5375,30710.6375,31623.95,33313.225,35667.7,37656.4375,39697.6875,41694.3875,43495.1,45114.025,47310.9875,48966.4875,50228.75,51208.9625,50797.725,49251.4,47126.6,45812.7625,43313.475,39350.7,35647.1875,33084.1875,31697.1,30428.95,29907.875,30181.0625,31076.875,32630.175,34947.2375,37164.325,39337.0125,41717.45,43733.15,45521.425,47503.8875,49429.4375,50646.8875,51449,50874.9875,48158.9625
"H8",28913.3,26745.7375,25026.725,23859.575,23173.7375,22990.0625,23771.6625,25048.9625,26326.425,28019.1,30041.0875,32316.5625,34518.675,36410.6875,38091.775,39241.1625,40100.9375,40287.15,39370.325,37826.4375,36389.3875,35395.1375,34373.6,31693.8125,28906.5375,26433.4,24839.6375,23653.1625,22965.6375,22826.125,23486.1125,24508.625,25608.2,27217.6625,28962.225,31051.275,32950.175,34617.725,36355.6,37806.25,38789.5,39361.4875,39097.9375,37876.2375,36063.3375,34571.1875,33426.525,30936.2875
"H9",35356.2,32548.475,30352.35,28758.0375,27667.05,26972.1875,26690.75,27372.1625,28409.625,29766.9125,31710.8875,33973.1875,36370.6875,38715.325,40638.275,42171.7875,43035,43774.875,44124.4125,43781.3,43045.05,41907.55,40382.0375,39314.8125,36864.725,34028.8375,31787.7625,30044.9375,28755.1,27851.575,27515.0125,27940.2625,28784.7625,30236.5625,32526.575,34975.2875,37594.0125,40070.625,42109.525,43786.7,44498.875,45085.05,45227.125,44674.8,43695.65,42384.1,40692.8125,39474
"H10",462.1425,456.53025,441.540375,423.2985,410.25025,402.247375,400.696125,397.98025,397.984375,399.21825,423.141125,417.3495,426.33875,439.2145,441.14575,451.137625,457.0325,460.005625,470.493375,475.54675,471.38775,476.25725,476.72225,463.64325,459.664125,453.712875,441.4635,423.29675,412.942,404.625125,402.325,399.123375,398.794625,398.59675,422.600125,421.800875,430.9565,442.299375,448.6895,451.3855,453.099625,464.321375,470.211,469.0265,444.537625,481.799375,480.456875,466.73125
"H11",27180.5375,26169.0625,25636.7,25765.1,26220.375,26936.3625,28127.4625,29722.0125,31480.7875,33125.3,34450.625,35718.6375,37349.525,38575.375,39396.0625,39922.2,39631.1,38882.7,37804.125,37126.1875,35231.5625,32225.4375,29662.875,27940.025,27399.05,26334.5,25610.45,25603.55,25788.5125,26321.9125,27419.025,28685.5,30046.55,31599.1375,33335.875,34912.675,36798.3375,38177.475,39110.25,39548.525,39526.65,38689.275,37376.9,36399.075,33157.575,29950.625,26934.9375,25622.85
"H12",8042.30125,7246.05625,6766.28375,6406.5325,6220.53625,6168.6675,6421.09375,6785.21375,7229.3825,7808.56875,8445.0875,9032.27375,9526.97375,10024.205,10483.0625,10912.9125,11135.7875,11241.4125,11048.825,10652.725,10172.6375,9835.615,9378.13,8561.29,7683.27,6965.69625,6483.8525,6147.6125,5961.7675,5915.515,6168.745,6474.86625,6850.01875,7413.1825,8029.2525,8679.14875,9281.00375,9799.765,10310.425,10772.775,11070.0625,11152.1125,11034.3375,10686.6625,10115.6875,9627.39,9188.43125,8410.52875
