"id","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"D1",2034.35625,2028.71375,2036.4125,2035.2225,2035.07875,2036.87,2037.38875,2039.52375,2034.85375,2039.5625,2039.37625,2039.2925,2040.51875,2039.25875
"D2",2964.49,2956.38,2970.11625,2978.585,2980.09,2988.755,2979.06875,2976.8025,2970.05875,2978.4425,2982.85375,2980.1275,2989.11125,2981.77375
"D3",1123.2325,1120.9075,1119.01875,1118.75625,1117.1775,1116.99625,1128.97125,1129.27375,1123.81,1120.29125,1119.42625,1116.91,1117.2975,1131.6325
"D4",1208.185,1213.41875,1207.18875,1194.45625,1188.13,1181.92125,1233.165,1231.8275,1216.3825,1202.495,1192.58875,1183.10625,1178.07625,1249.4575
"D5",5872.6125,5874.57375,5883.67875,5904.67125,5902.715,5898.4075,5890.925,5883.02875,5893.85625,5900.1225,5922.1875,5914.21625,5908.66125,5892.47625
"D6",3032.8075,3074.35625,3049.68,3069.71125,3079.2075,3121.47375,3119.225,3050.48125,3082.39125,3054.6625,3069.7875,3081.625,3122.025,3119.33625
"D7",6417.46125,6334.35875,5235.58875,5301.99625,4923.4475,5709.24125,5293.7675,6234.9025,6225.1675,5346.62875,5448.085,5039.50375,5633.02625,5316.85
"D8",1732.31875,1729.13625,1740.9875,1739.33375,1736.08625,1734.97375,1738.96,1739.0625,1736.085,1745.015,1742.8675,1737.98625,1738.01375,1740.37375
"D9",1584.06125,1580.42875,1591.485,1590.0275,1587.8275,1587.385,1589.3975,1589.22875,1585.7,1593.5075,1592.9275,1590.10875,1590.89,1592.4675
"D10",2628.88625,2635.52125,2634.09625,2638.615,2641.83625,2639.24,2629.88875,2639.78125,2645.965,2639.175,2642.575,2644.74,2643.26375,2633.48125
"D11",2437.91875,2436.20125,2435.42625,2438.32875,2417.39375,2433.0825,2449.575,2443.68875,2442.68125,2439.33,2442.185,2422.05,2436.87375,2449.96875
"D12",3678.29,3666.81875,3696.0025,3688.555,3675.47125,3696,3679.2225,3685.135,3679.6775,3703.00875,3697.28625,3682.4025,3700.41375,3684.54125
"D13",7207.09875,7221.16125,7242.985,7332.40625,7306.58625,7248.20375,7268.77625,7240.9975,7259.165,7268.665,7347.17625,7310.59,7255.975,7277.63125
"D14",5659.9,5667.3875,5654.64375,5668.1475,5687.715,5714.3225,5695.6175,5687.3875,5687.95375,5665.18375,5675.60625,5692.23125,5718.0475,5699.01125
"D15",8399.67,8731.54,8366.84875,7838.20625,7958.6625,8097.16,8036.83125,8325.255,8657.47375,8360.12375,7917.36,8021.40375,8109.77625,8021.7325
"D16",3084.54875,3081.345,3066.825,3087.45125,3081.52625,3058.68,3083.03,3092.215,3087.45875,3074.5475,3092.9675,3081.655,3065.9025,3085.66875
