"id","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"H1",618.897375,557.099,522.990125,493.842,475.10875,464.840375,464.470125,489.697625,496.3595,536.5485,583.9525,647.569375,720.528375,773.7855,810.505375,824.92475,835.198625,824.67325,824.74525,805.915625,774.996375,754.86725,727.603875,682.024,610.85375,548.08425,510.4935,480.7135,462.617875,451.126,452.559875,471.063875,482.484625,523.507,576.49475,651.441375,731.300875,793.62025,836.18675,864.632125,861.342125,835.72275,824.474125,805.01675,781.431,738.731125,719.69925,669.48325
"H2",2793.95125,2486.24875,2261.51875,2077.975,1942.23625,1923.875,1885.68375,1948.75,2076.16625,2229.17625,2408.00125,2616.8675,2865.41,3092.375,3296.195,3486.9125,3614.8075,3733.94,3813.95125,3833.06,3748.8575,3554.68375,3343.96875,3216.01375,2908.2825,2563.87,2301.315,2096.3575,1972.29875,1870.78625,1857.24625,1914.39125,2043.3925,2268.4525,2526.9375,2786.9875,3052.4675,3336.15875,3574.74875,3748.005,3889.10375,3950.93875,3996.87875,3991.7275,3894.57875,3672.85,3455.61375,3280.4175
"H3",1458.94625,1397.54125,1253.47875,1123.715,1031.82375,971.9455,941.10175,908.48,928.160375,982.530375,1066.80625,1153.13625,1209.71,1252.00375,1304.93625,1343.94875,1385.86375,1422.41625,1461.715,1487.735,1522.08625,1525.7775,1502.645,1454.18625,1418.92625,1377.4625,1242.105,1118.3225,1005.6445,948.675875,918.216375,894.35375,909.13225,956.837875,1033.0125,1108.09875,1177.655,1219.61625,1260.715,1293.61375,1328.505,1348.00125,1383.82,1423.23,1440.00875,1446.94125,1416.32875,1371.24375
"H4",5357.375,5112.71375,4737.6225,4345.95625,4024.55125,3789.3775,3583.64625,3473.595,3449.7225,3500.50875,3601.3525,3788.59625,3977.15375,4193.1425,4443.36625,4661.69375,4867.34,5132.52625,5369.2875,5624.4075,5802.14125,5862.91125,5734.41125,5611.1675,5471.45875,5196.88,4818.6,4464.715,4201.05,3970.35875,3780.75,3684.07875,3664.54125,3717.96,3758.145,3871.86,4019.60125,4222.87125,4436.72125,4643.31375,4812.63875,5021.9025,5226.19375,5401.0675,5534.03125,5478.6425,5282.805,5154.09375
"H5",3610.7875,3294.4825,2849.4175,2458.875,2178.275,2008.87375,1892.335,1811.57,1817.18875,1892.4075,1982.48375,2123.695,2259.11,2376.30625,2641.6475,2810.835,3013.43625,3215.88625,3416.82875,3558.8925,3670.045,3752.19375,3622.39875,3401.58125,3154.985,2944.3525,2601.86875,2293.04875,2069.37375,1915.5925,1817.8975,1747.8275,1751.75875,1818.46875,1886.9975,2018.5525,2147.635,2306.015,2463.08,2638.1725,2860.20875,3112.68625,3350.83375,3560.11,3722.53875,3824.65625,3745.54125,3544.93
"H6",5157.0625,5343.16125,5686.085,6012.58625,6295.65375,6499.73125,6667.84625,6801.28375,6935.83375,7098.225,7183.87625,7218.0025,7330.9,7393.1125,7304.345,7119.67125,6903.34625,6757.2575,6375.4375,5879.05125,5536.305,5263.6725,5046.0125,4939.73,4952.1375,5030.445,5165.92,5454.16875,5840.85875,6140.4275,6330.855,6501.27625,6640.1675,6741.1225,6827.49625,6884.20125,6938.3075,7002.57875,6938.74375,6836.41,6678.0775,6507.78375,6123.3525,5672.28375,5325.9225,5023.7075,4865.0325,4789.7675
"H7",48722.4375,47145.45,44382.6125,40115.9625,36166.9125,33441.025,31943.1375,30898,30520.3,30763.1125,31683.625,33380.6125,35750.3375,37752.4,39810.9125,41844.4875,43653.6375,45279.35,47482.6125,49087.6625,50309.7375,51253.625,50825.1125,49314.1375,47235.2125,45890.8375,43360.0875,39396.05,35710.7875,33171.575,31800.9,30573.35,30053.075,30342.1875,31233.675,32784.8375,35117.6625,37322.1625,39503.9375,41884.925,43867.3,45637.4875,47612.375,49502.925,50718.725,51539.75,51028.5625,48360.45
"H8",28903.3875,26759.575,25051.7625,23898.2125,23212.025,23024.7,23794.3,25068.55,26336.0375,28022.8875,30057.1,32338.625,34537.1375,36426.2625,38116.225,39261.625,40105.45,40275.1,39352.65,37817.75,36383.05,35389.4375,34372.725,31709.4125,28925.5625,26476.925,24895.025,23719.625,23044.55,22917.3375,23578.65,24600.925,25689.4375,27292.2875,29029.2,31114.45,33013.325,34708.35,36447.825,37884.475,38838.15,39383.2875,39121.15,37912.55,36099.575,34631.725,33514.55,31036.6
"H9",35437.8625,32622.775,30422.8625,28819.4125,27726.3125,27036.5375,26777.5625,27457.05,28500.35,29893.975,31818.175,34109.275,36486.8625,38812.35,40694.625,42206.45,43029.1375,43776.7625,44136.6375,43779.925,43028.8,41885.45,40348.225,39259.3375,36809.65,33973.7,31752.575,30025.2,28748.95,27879.075,27570.675,28025.55,28892.7375,30371.6,32650.55,35123.7375,37725.525,40167.4125,42113.625,43723.25,44384.0375,44950.45,45046,44493.5,43513.3625,42214.5875,40529.1375,39318.475
"H10",462.952375,457.570375,442.635875,424.514,411.415125,403.347375,401.57725,398.846,398.7685,399.885375,423.780375,417.963,427.0145,439.723375,441.43675,451.407875,457.238,460.139125,470.76425,475.539375,471.470875,476.53825,477.155375,464.212125,460.538,454.676625,442.576875,424.47125,414.123625,405.870875,403.496625,400.3335,399.988625,399.689625,423.590625,422.844375,431.899375,443.220375,449.57825,452.1655,453.598625,464.750125,470.51775,469.138375,444.995125,482.5915,481.275625,467.518125
