"id","V2","V3","V4","V5","V6","V7","V8","V9"
"Q1",6917.83,6791.6125,6903.0675,6904.485,7009.1125,6890.13,7002.0225,6989.1675
"Q2",7117.11,7087.305,7170.9025,7183.305,7239.4725,7228.6425,7331.05,7316.4125
"Q3",7222.1925,7162.285,7217.9825,7160.2175,7243.5225,7193.185,7254.375,7185.065
"Q4",7742.3525,7779.205,7822.405,7792.49,7824.5675,7858.0675,7916.315,7871.61
"Q5",953.34525,834.81575,1133.53,1383.3175,976.43725,850.91975,1144.03,1388.4075
"Q6",9805.9425,9725.19,9812.9875,9862.2075,9840.9325,9754.82,9850.2575,9908.2175
"Q7",3373.0625,3354.4525,3355.265,3365.275,3376.775,3353.455,3352.34,3367.68
"Q8",2595.0375,2554.97,2597.56,2628.5875,2607.275,2566.54,2607.035,2639.195
"Q9",2499.485,2471.2525,2491.1225,2494.965,2490.115,2465.3,2484.36,2496.94
"Q10",2557.3925,2534.9075,2560.7875,2555.0625,2551.66,2533.8025,2562.875,2560.905
"Q11",1170.2125,1160.715,1156.7725,1158.2225,1172.69,1163.7375,1160.84,1160.6825
"Q12",3169.095,2943.32,3228.5775,3389.585,3184.0625,2946.1575,3221.8525,3386.265
"Q13",1764.4425,1764.0975,1783.41,1783.88,1808.14,1806.1625,1822.5475,1822.725
"Q14",12322.775,12204.1,12235.35,12535.75,12620.15,12562.325,12592.9,12868.475
"Q15",1210.765,1177.575,1270.19,1300.97,1231.0325,1196.875,1288.2975,1318.165
"Q16",2029.2225,2047.38,2129.1475,2121.95,2102.805,2115.7625,2209.865,2202.1525
"Q17",2449.3125,2473.6875,2424.55,2484.69,2479.5025,2500.3625,2453.395,2512.4875
"Q18",4674.62,4444.71,4906.7925,4736.735,4669.32,4423.5525,4887.34,4721.7525
"Q19",5729.9725,5700.3525,5788.37,5789.2725,5738.2075,5715.745,5800.2775,5814.04
"Q20",6290.8175,6301.235,6285.445,6356.4175,6324.6975,6325.97,6312.6025,6393.815
"Q21",9739.9925,9693.4025,9791.58,9847.3925,9754.685,9703.6875,9811.8825,9898.575
"Q22",5054.7425,5044.7525,5161.11,5220.4525,5105.6725,5110.265,5222.995,5299.5875
"Q23",5954.535,5839.1675,5997.625,6056.165,5940.905,5831.8775,5986.37,6054.7675
"Q24",2309.325,2296.0225,2337.7275,2329.3975,2309.9625,2288.5575,2327.855,2317.66
"Q25",1357.945,1352.3975,1380.68,1373.8675,1355.11,1350.4,1377.645,1367.785
"Q26",7461.5675,6804.1125,7572.3625,8991.595,7458.03,6881.8325,7685.585,9182.5525
"Q27",9152.9525,9039.7575,9219.4075,9267.865,9198.3375,9030.8,9194.3875,9218.5
"Q28",5173.54,5171.0675,5070.69,5009.725,5209.3725,5227.9375,5124.2975,5062.875
"Q29",1967.9475,1925.3325,1903.65,1895.5625,1977.9525,1939.67,1920.97,1910.6
"Q30",3128.1925,3139.215,3082.11,3094.31,3143.1025,3154.7425,3100.6275,3113.1725
"Q31",2502.01,2553.295,2509.975,2516.795,2515.8025,2564.66,2530.99,2534.4425
"Q32",4867.56,4739.73,4740.54,4748.3975,4926.715,4805.96,4809.0125,4815.82
"Q33",8288.89,8384.505,8342.0125,8347.7375,8389.2525,8473.7775,8437.38,8437.8375
"Q34",7167.995,7325.8775,7251.43,7293.385,7260.13,7406.2,7349.315,7372.41
"Q35",10137.725,10290.475,10250.825,10158.475,10244.55,10404.45,10349.525,10247.075
"Q36",9215.2425,9153.675,9168.5775,9228.7,9337.8525,9295.965,9325.31,9389
"Q37",4514.265,4488.7075,4506.2875,4533.0375,4553.1925,4560.0575,4573.4225,4612.4825
"Q38",6383.6775,6369.4175,6502.3025,6494.045,6471.0525,6467.6875,6600.7775,6616.0975
"Q39",5528.355,5714.2725,6198.975,6038.7725,5622.4975,5833.17,6389.4525,6184.9875
"Q40",5278.6225,5325.6925,5299.7925,5295.5325,5332.5925,5387.79,5372.775,5372.885
"Q41",1917.625,1917.92,1919.86,1922.965,1940.7575,1941.6225,1944.4775,1948.335
"Q42",2134.7075,2131.0125,2126.345,2128,2163.29,2158.8775,2156.045,2157.11
"Q43",5494.62,5576.845,5511.5025,5533.455,5547.045,5642.5225,5591.4475,5620.4825
"Q44",1289.9525,1300.755,1287.9125,1288.995,1309.5025,1317.5625,1304.19,1306.0325
"Q45",1932.1125,1933.4275,1937.2,1940.5275,1960.2275,1961.745,1966.315,1969.4675
"Q46",3380.1525,3408.11,3437.775,3426.32,3432.4475,3466.0125,3488.38,3478.8
"Q47",9609.57,9748.2725,9699.1175,9795.0325,9741.315,9866.605,9810.4825,9895.5175
"Q48",1414.4275,1392.5575,1422.4875,1443.2475,1441.9875,1424.1225,1451.34,1473.2775
"Q49",8902.395,9124.3275,9020.415,9016.3975,9036.3675,9256.3625,9177.73,9135
"Q50",9261.5725,9547.8275,9368.555,9387.0775,9386.6875,9687.4425,9534.5775,9526.1125
"Q51",1487.3875,1517.64,1504.06,1458.27,1515.7925,1546.8825,1533.6475,1478.53
"Q52",5808.4075,5844.37,5859.745,5861.045,5863.965,5902.355,5924.945,5926.6075
"Q53",2662.07,2660.2375,2712.6275,2659.71,2714.54,2709.75,2752.7475,2702.3175
"Q54",1652.325,1648.6625,1659.1025,1671.985,1673.06,1667.9175,1678.2175,1689.785
"Q55",6889.0325,6974.58,6931.8325,6981.01,6976.79,7057.0925,7017.015,7068.5475
"Q56",3012.1625,3010.745,3077.8075,3011.455,3077.6,3063.165,3126.6875,3059.2975
"Q57",1478.59,1490.76,1484.785,1482.5125,1498.905,1509.91,1503.795,1502.435
"Q58",7359.685,7417.225,7408.4125,7385.4775,7472.2625,7515.41,7492.68,7465.005
"Q59",9543.03,9640.3175,9689.995,9564.495,9693.435,9763.7925,9781.14,9662.1075
"Q60",1396.695,1407.55,1428.1325,1425.6825,1422.9025,1430.815,1446.6375,1443.905
"Q61",2810.3175,2795.5225,2836.67,2840.085,2824.8475,2808.11,2841.49,2849.925
"Q62",2103.015,2130.7275,2182.9,2212.78,2206.05,2221.1175,2239.5375,2249.5175
"Q63",2965.1975,3022.8875,3079.03,3135.245,3102.725,3148.5125,3189.14,3234.31
"Q64",3217.2325,3169.3175,3225.71,3248.2175,3267.3075,3213.56,3265.69,3290.9375
"Q65",4494.5875,4422.5325,4541.8425,4607.685,4695.63,4754.7325,4926.1,5049.195
"Q66",6344.97,6421.8075,6484.8375,6554.0225,6475.295,6576.75,6679.86,6810.1475
"Q67",10997.7,11230.075,11375.2,11588.85,11566.65,11702.6,11790.35,11943.925
"Q68",3253.86,3300.145,3369.58,3355.5175,3393.3525,3436.72,3480.6275,3452.3
"Q69",1103.715,1111.6975,1109.76,1098.23,1100.08,1115.2525,1119.12,1117.43
"Q70",10695.25,10737.85,10777.2,10800.4,10788.95,10824.025,10864.45,10889.875
"Q71",4948.325,4944.275,4881.52,4957.72,4964.4575,4999.935,4949.905,5065.9625
"Q72",3986.8175,3985.925,3908.08,4040.135,4149.205,4138.715,4060.5525,4185.8875
"Q73",5230.8325,5245.1825,5286.3625,5319.215,5321.8625,5339.9025,5378.4175,5423.215
"Q74",3058.8325,3066.3625,3096.5225,3128.99,3110.3825,3110.9525,3136.9125,3173.1675
"Q75",1604.825,1605.6775,1615.8475,1624.2875,1620.6125,1621.17,1631.2575,1641.455
"Q76",13562.475,13540.55,13626.4,13673.475,13648.725,13642.95,13736.6,13819.725
"Q77",17742.35,17847.275,18037.475,18166.75,18168.525,18266.625,18457.375,18627.15
"Q78",17291.175,17338.675,17513.475,17660.15,17633.9,17679.675,17863.25,18028.1
"Q79",1682.2275,1661.46,1669.005,1657.23,1655.9875,1637.885,1643.965,1635.535
"Q80",6783.2625,6798.4225,6785.975,6775.815,6773.3175,6788.3875,6780.7475,6776.265
"Q81",4518.975,4524.9625,4515.28,4513.855,4512.885,4519.93,4516.6075,4516.635
"Q82",2201.6975,2195.2925,2194.6775,2194.535,2203.315,2203.4725,2205.2575,2204.705
"Q83",3427.8225,3405.4425,3466.2,3560.3475,3514.3325,3491.59,3534.2,3634.605
"Q84",12263.95,12224.475,12299.55,12381.15,12353.725,12335.4,12419.325,12515.5
"Q85",33702.9,34045.475,34414.875,34733.075,34900.425,35247.8,35573.175,35473.375
"Q86",1103.02,1106.3825,1113.025,1124.3925,1117.07,1122.5075,1129.91,1142.6725
"Q87",2371.6225,2378.1675,2394.07,2404.925,2404.6675,2412.185,2423.97,2435.225
"Q88",3825.9,3802.15,3830.9125,3946.5525,3896.2175,3883.75,3913.2425,4033.8025
"Q89",8316.495,8245.0325,8285.0225,8517.265,8419.53,8387.9375,8457.115,8703.0325
"Q90",8805.9775,8379.0975,8372.6,8739.3975,8956.59,8478.2725,8470.9925,8883.42
"Q91",1082.86,1083.5325,1086.2825,1089.75,1091.695,1093.59,1097.485,1103.01
"Q92",7237.335,7304.6175,7321.32,7337.9925,7336.6975,7406.9025,7429.9375,7444.9675
"Q93",1570.415,1580.005,1590.9275,1597.99,1594.3375,1603.5475,1612.8475,1620.265
"Q94",4030.9875,4042.43,4112.0725,4114.74,4128.9425,4138.6475,4208.965,4213.33
"Q95",5978.9025,5991.94,6064.1375,6071.0025,6090.095,6107.13,6185.275,6194.255
"Q96",9111.8425,9148.8725,9207.6975,9251.51,9334.4975,9332.8375,9373.1425,9369.3925
"Q97",21222.25,21391.925,21503.85,21565.8,21572.05,21761.2,21900.925,21999.825
"Q98",2436.1075,2386.575,2411.94,2418.335,2430.8025,2390.79,2422.8675,2436.94
"Q99",1502.35,1487.0125,1542.26,1534.74,1546.125,1531.405,1582.055,1584.4075
"Q100",6868.2225,6766.8075,6813.5025,6876.4425,6844.5725,6761.08,6812.9625,6892.305
"Q101",4275.6075,4322.1175,4323.38,4324.8375,4326.185,4379.5225,4390.9875,4395.1575
