"id","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"D1",2033.53375,2028.53375,2035.68625,2034.4625,2036.96125,2036.655,2036.2,2037.88125,2032.085,2040.58125,2036.95375,2037.1375,2037.9375,2038.10875
"D2",2963.9175,2955.82125,2970.07125,2978.64125,2984.07125,2990.54375,2978.68625,2975.72125,2966.79625,2981.1075,2981.74125,2983.10875,2990.51875,2982.3425
"D3",1122.0875,1120.1925,1117.835,1117.92875,1118.3375,1116.56,1128.46,1129.28,1123.60875,1120.6625,1118.39625,1116.76625,1116.1425,1131.7525
"D4",1205.04625,1209.2325,1204.46125,1191.925,1189.21875,1181.28,1231.58875,1226.34375,1213.735,1203.565,1189.07125,1183.425,1178.36125,1250.605
"D5",5870.30125,5874.0525,5873.0575,5900.15625,5902.52625,5900.4675,5895.7775,5888.36875,5889.88,5896.8425,5912.81125,5908.735,5903.97875,5897.83375
"D6",3026.85375,3070.2575,3042.46,3064.9575,3080.49625,3124.08,3116.5125,3044.77125,3073.73375,3047.97,3065.56625,3081.81,3123.4575,3120.34125
"D7",6385.32375,6307.4425,5220.23125,5308.6325,4920.9925,5719.61875,5287.15625,6193.6375,6192.7575,5304.47625,5435.2475,5020.24,5631.3025,5292.75875
"D8",1731.6225,1727.04,1738.1275,1736.66375,1735.64625,1735.62625,1738.305,1738.405,1732.34875,1742.6075,1737.5675,1735.165,1736.01125,1740.8125
"D9",1584.35,1581.375,1591.9325,1590.79125,1590.36875,1588.8275,1590.57875,1589.58625,1586.0525,1597.2375,1592.72875,1590.505,1589.60625,1592.17
"D10",2626.225,2633.5425,2631.5,2637.56875,2642.9175,2641.11,2627.98125,2637.9225,2642.0875,2639.635,2639.055,2643.37625,2642.86125,2632.75625
"D11",2434.13,2434.925,2432.71125,2438.4725,2419.01375,2433.80625,2449.28,2439.7825,2439.27,2440.88625,2440.6725,2420.5375,2437.66125,2452.13375
"D12",3673.01375,3665.21625,3691.965,3683.74375,3676.13,3697.22625,3681.36375,3683.8725,3676.0275,3702.44375,3688.7425,3677.89125,3696.5975,3682.61125
"D13",7206.57125,7220.98375,7235.4525,7332.4975,7312.945,7246.985,7270.31125,7240.8925,7255.47875,7273.39,7339.9525,7308.785,7251.30375,7274.07875
"D14",5659.21125,5668.7275,5651.2025,5666.1325,5692.5725,5720.1325,5699.50125,5689.96875,5686.76625,5667.76125,5671.11875,5693.59375,5718.5425,5705.88125
"D15",8344.57375,8720.8725,8364.525,7844.8,7962.35125,8078.49375,8019.02625,8306.97125,8621.05375,8352.27375,7897.025,8014.84,8094.355,8014.79
"D16",3082.63,3080.01375,3065.0175,3088.25875,3080.35375,3058.91375,3085.205,3094.4975,3085.26125,3075.135,3089.17625,3080.59,3063.79,3088.1125
"D17",4045.61125,4046.795,4062.65875,4068.65375,4066.30625,4071.51625,4053.96875,4059.12375,4062.1125,4078.82125,4072.77625,4068.3975,4071.53375,4058.01375
"D18",9556.3475,9576.37625,9632.61875,9561.82125,9568.105,9575.465,9566.74875,9587.5625,9590.21,9652.87375,9570.7525,9572.71375,9591.4325,9587.96375
"D19",2674.09125,2687.2275,2704.02,2682.23,2748.8075,2714.9725,2700.08375,2686.455,2695.2125,2714.08875,2687.46125,2746.86375,2714.73125,2702.55
"D20",10828.75,10808.0625,10849.9125,10852.1125,10870.925,10885.1875,10870.125,10857.325,10827.8,10878.7375,10863.8,10882.0375,10901.8,10887.375
"D21",2663.8525,2678.7075,2694.9925,2670.1775,2739.08625,2702.3725,2687.53,2675.1775,2686.2675,2704.90625,2674.7075,2735.3325,2700.035,2689.1425
"D22",2847.74375,2868.15,2899.27375,2894.4,2915.64125,2898.51,2871.74875,2865.22625,2877.46375,2910.7,2897.91,2913.5075,2898.5275,2876.45375
"D23",1914.735,1926.485,1940.97125,1941.11625,1951.0775,1931.885,1928.895,1918.19,1928.0275,1947.01625,1941.20875,1949.73,1934.4825,1931.05
"D24",2538.61375,2557.78,2587.4175,2583.9075,2599.9575,2584.3375,2559.6725,2554.9375,2566.02,2596.86625,2584.90125,2598.53625,2585.54125,2565.595
"D25",1585.74375,1595.4175,1607.22625,1608.07375,1614.56875,1600.28125,1598.09125,1589.19375,1597.27125,1611.7875,1608.6675,1613.09625,1601.27875,1598.9675
"D26",2360.11625,2379.34875,2405.68125,2404.925,2419.91125,2401.8475,2380.28125,2374.84125,2385.76375,2414.52125,2407.2025,2418.9325,2404.0325,2384.40625
"D27",1707.06,1718.14125,1731.78375,1732.63375,1739.38875,1723.5275,1721.165,1711.37125,1720.04875,1737.8575,1732.705,1737.8475,1723.9525,1721.67125
"D28",426.447125,429.7765,429.6755,429.00975,429.4205,425.79775,425.59175,426.721625,430.303875,431.167125,429.7985,430.43225,426.787125,425.93525
"D29",6409.5125,6455.57625,6420.315,6430.30375,6446.4225,6449.61875,6423.5825,6419.6025,6462.79375,6436.34625,6440.3125,6449.705,6452.9775,6425.28
"D30",612.771125,618.003375,617.993875,617.141375,617.450125,611.9415,611.1205,612.99175,618.6595,620.53925,618.637625,619.014875,613.372625,611.975625
"D31",2123.44625,2096.4,2109.17375,2129.955,2165.3625,2131.10375,2130.455,2128.385,2101.315,2117.955,2134.51125,2163.94875,2133.9725,2133.69875
"D32",1926.22125,1901.67,1915.35375,1932.115,1964.16125,1934.41125,1932.835,1930.50625,1907.415,1924.67625,1937.0775,1963.97375,1934.92,1935.94375
"D33",6687.4375,6695.1175,6851.425,6822.5275,6811.23125,6794.24,6777.2725,6714.5525,6728.05,6875.78625,6833.79625,6815.7475,6800.53125,6781.995
"D34",2275.06375,2273.05875,2297.68625,2296.68875,2294.02625,2289.2625,2286.25125,2280.175,2276.505,2305.645,2300.1925,2294.55125,2291.0025,2287.475
"D35",1664.80125,1674.66375,1661.58625,1660.28625,1652.135,1664.57125,1669.2525,1678.17125,1684.04875,1668.0875,1661.17375,1648.66625,1665.43625,1672.8725
"D36",3781.84375,3775.76875,3766.04375,3762.53875,3836.79625,3811.33125,3794.6925,3790.37625,3783.02125,3780.33,3771.4775,3836.9925,3815.7125,3798.2725
