"id","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"H1",617.06175,555.559375,521.622,492.6235,473.862125,463.56025,463.303875,488.5175,495.639875,535.920375,583.797375,647.871625,720.81525,774.102,810.377875,824.1445,834.00675,823.17525,823.47075,804.63825,774.188625,754.037125,726.599625,680.90275,608.959125,546.1465,508.616375,478.887875,461.144125,449.693875,451.341875,470.049,481.64925,522.5515,575.582375,650.706,730.600125,793.159625,836.38525,864.740875,861.430875,836.041,824.563625,805.118375,782.6645,740.207125,721.294875,670.568
"H2",2796.03125,2488.3175,2263.95375,2079.62375,1944.43,1925.52,1886.615,1950.85875,2077.78875,2228.19375,2410.49125,2618.84375,2868.8275,3096.6275,3298.42375,3488.44125,3616.17375,3736.395,3818.70875,3839.00875,3755.44875,3562.27,3355.6625,3227.48625,2917.13375,2571.6275,2308.74625,2102.95875,1979.76875,1875.8025,1860.2725,1919.485,2046.41875,2274.24375,2533.64875,2794.6325,3063.76,3347.725,3588.06625,3764.15625,3905.35125,3967.71375,4018.50875,4013.44625,3916.55375,3695.57875,3481.97125,3304.16125
"H3",1461.32375,1398.3475,1254.3575,1124.90625,1033.12875,973.158125,942.886375,909.98275,930.01,985.012875,1069.295,1154.9,1211.53375,1253.43125,1305.88375,1344.415,1386.225,1421.9075,1460.3175,1485.81875,1519.7425,1522.615,1499.52875,1450.44875,1413.85375,1373.26875,1238.41125,1115.3925,1002.3895,945.134375,914.38325,890.233375,905.571625,952.6165,1029.16125,1103.7725,1173.4725,1216.06,1257.7475,1289.67875,1325.40375,1343.60125,1379.02125,1418.19125,1433.1725,1439.93,1408.98,1363.7
"H4",5353.47875,5112.33,4741.21875,4351.86875,4032.375,3796.5375,3591.5375,3478.65125,3453.34625,3501.42,3601.9575,3787.9525,3974.6475,4190.7175,4439.60875,4657.1475,4860.44625,5126.50625,5368.7025,5629.30875,5813.24875,5876.93875,5751.53,5631.07375,5486.915,5211.14875,4831.84125,4476.495,4211.31875,3975.0525,3783.41,3680.55375,3659.315,3710.92,3749.785,3863.79875,4011.17625,4214.55,4427.8825,4631.155,4797.48875,5007.78375,5215.7675,5394.00625,5531.55625,5477.33125,5284.2575,5161.465
"H5",3606.23,3279.91,2833.87375,2443.275,2162.9925,1993.64875,1877.2775,1798.58875,1804.24125,1881.66,1971.7225,2112.86625,2247.11,2361.955,2626.29125,2797.755,3003.92125,3211.865,3417.13625,3559.30625,3677.145,3759.0075,3628.88875,3398.6125,3140.49875,2928.4625,2583.49375,2273.2625,2047.25,1893.49875,1796.67375,1727.6475,1732.4425,1799.27625,1867.8275,1998.28875,2126.49125,2285.29375,2438.42,2610.825,2830.82875,3080.5975,3319.36375,3530.28125,3696.715,3800.71375,3723.7975,3520.06
"H6",5159.3125,5349.09375,5694.4825,6026.3975,6309.435,6513.535,6678.9625,6811.3025,6944.72625,7103.93,7190.865,7223.59125,7331.9725,7392.19375,7299.66125,7114.475,6897.9075,6750.3,6367.3625,5869.7625,5528.26,5256.265,5040.0175,4938.17375,4953.6725,5037.77625,5176.7725,5471.12375,5858.36875,6159.73,6346.47,6515.5975,6656.14375,6756.00875,6843.14375,6899.47,6955.06,7021.95875,6960.425,6860.0825,6698.01,6529.24,6142.99125,5688.16,5340.7,5036.89875,4877.88625,4804.64875
"H7",48742.125,47149.2,44400.2125,40122.425,36175.1625,33454.15,31951.4625,30884.1875,30507.45,30762.8375,31700.0625,33393.3375,35747.1625,37734.4875,39763.95,41771.2,43571.575,45202.375,47427.25,49042.975,50299.25,51241.725,50813.8375,49267.625,47142.675,45823.25,43325.575,39353.875,35655.625,33106.175,31709.5,30454.975,29931.1625,30200.35,31091.0875,32642.8875,34951.7,37166.25,39328.6,41687.9875,43698.8875,45460.9875,47446.9,49322.2,50506.5,51297.55,50725.5,48025.825
"H8",28905.9125,26740.125,25025.625,23858.8875,23168.65,22979.4,23751.8625,25024.3125,26295.2125,27985.175,30015.1875,32282.9625,34484.7,36379.7625,38079.1125,39240.6375,40108.4125,40278.9,39355.3125,37801.625,36370.1,35381.975,34380.825,31712.5375,28924.2375,26463.95,24883.0875,23701.8375,23018.9625,22884.4875,23549.1,24578.1,25671.2125,27262.425,28980.8125,31051.8,32939.825,34615,36352.8875,37788.95,38758.1625,39304.7,39042.0625,37836.8,36012.4375,34525.6,33386.65,30907.375
"H9",35418.3,32600.9375,30401.875,28800.2875,27709.9625,27031.375,26768.9875,27465.5625,28521.475,29885.05,31839.025,34100.05,36474.55,38795.1625,40656.6625,42158.475,42987.375,43718.7,44092.8125,43763.35,43071.575,41965.1125,40442.6,39332.3875,36843.8875,33979.4625,31733.0875,29986.3375,28713.5375,27840.7125,27532.8875,27993.65,28869.5,30339.7,32630,35078.2,37673.9,40106.2875,42088.825,43708.4375,44389.2125,44956.625,45106.875,44555.175,43604.45,42307.1,40624.7,39407.425
"H10",462.4615,456.79275,441.724,423.537625,410.4135,402.459375,400.70825,397.97475,397.96175,399.234125,423.237625,417.336875,426.28975,439.401875,441.159125,451.002375,456.863375,459.601125,469.868125,474.558,470.423375,475.3265,475.816125,462.733125,458.799625,452.974375,440.84575,422.8385,412.54575,404.448875,402.11075,399.048875,398.882125,398.66675,422.668125,421.911375,431.08675,442.75375,448.932875,451.635375,453.219875,464.2845,470.084625,468.694125,443.71675,481.473875,480.17025,466.362125
"H11",27260.6,26304.1,25818.4375,25985.8,26477.975,27218,28406.7,29985.3375,31690.0375,33283.1125,34554.8125,35751.8,37329.6125,38496.275,39277.7125,39805.0625,39482.1125,38746.9125,37718.85,37061.8125,35187.7,32180.95,29600.4375,27879.275,27343.925,26339.2875,25674.1125,25725.4375,25957.4375,26521.5375,27630.55,28898.9375,30236.3875,31740.625,33416.8125,34937.4,36793.45,38138.5125,39076.4375,39499.35,39467.25,38657.025,37379.8,36424.2125,33231.125,30038.2375,27022.5,25669.75
"H12",8037.07625,7238.555,6756.3925,6397.085,6209.14875,6158.2875,6409.28,6773.9,7215.955,7792.03,8425.91375,9005.6275,9497.03375,9993.5275,10448.6,10875.7375,11097.95,11198.6375,11008.7625,10617.15,10152.6125,9823.90875,9372.175,8559.36125,7683.63875,6971.035,6496.45,6162.2925,5977.125,5930.7325,6181.14375,6488.05625,6857.3675,7414.21875,8024.5725,8669.47625,9265.58875,9781.31875,10285.0625,10744.525,11044.725,11126.175,11012.475,10667.25,10096.0875,9609.8925,9176.69625,8403.05875
