"id","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"D1",2032.16875,2027.71,2033.31125,2033.835,2036.36875,2038.1375,2037.48875,2038.3825,2033.26,2037.93875,2036.2575,2038.395,2039.27,2038.6375
"D2",2963.02625,2955.9375,2969.36375,2975.18375,2980.36,2989.87375,2979.76125,2975.9575,2968.0375,2978.8975,2979.87625,2980.12625,2987.13375,2980.41
"D3",1120.59375,1119.425,1117.3,1116.67625,1116.69125,1116.62125,1128.66,1128.1425,1122.89875,1118.73125,1116.84625,1116.10875,1116.315,1131.38625
"D4",1204.78625,1211.385,1207.00375,1192.9975,1186.8,1180.25375,1233.6325,1228.32625,1216.6125,1203.2475,1192.68625,1182.82125,1175.66,1250.2475
"D5",5872.125,5873.82375,5876.4575,5900.29,5902.63,5901.525,5894.20625,5885.86375,5891.0325,5896.2075,5914.555,5911.99375,5903.88625,5891.33375
"D6",3033.40375,3079.92125,3051.8625,3071.6475,3086.27875,3125.655,3118.3075,3051.47,3085.0525,3060.98375,3075.38375,3090.02,3122.85375,3119.5875
"D7",6360.75375,6310.20375,5197.21125,5293.1575,4890.5775,5693.8125,5297.3725,6185.64,6197.3825,5307.98875,5414.92,5006.60875,5608.05625,5304.65125
"D8",1731.8975,1728.20875,1738.88,1737.2725,1735.56875,1735.79625,1739.15125,1739.55875,1734.8525,1743.57375,1739.37875,1736.18625,1736.49,1739.07875
"D9",1584.72125,1581.27375,1591.4075,1590.34625,1588.65875,1588.88125,1591.91125,1591.87375,1587.7475,1595.6475,1592.215,1589.89125,1590.15875,1591.7
"D10",2626.49,2634.75125,2630.6975,2637.35,2641.50625,2640.31125,2630.995,2640.235,2644.845,2637.74,2640.0825,2643.47,2642.19875,2631.675
"D11",2435.87375,2436.20125,2432.155,2438.43125,2419.0075,2435.785,2450.2,2441.11,2440.71375,2437.74375,2442.2825,2422.8325,2438.71625,2450.95875
"D12",3673.3825,3663.6,3689.60375,3684.0975,3670.905,3696.68875,3679.425,3684.12875,3677.05,3697.7725,3687.96,3674.7475,3697.40625,3680.415
"D13",7201.12125,7208.6925,7229.38625,7326.34375,7303.225,7245.5475,7269.4375,7232.755,7246.3875,7256.56375,7333.64125,7301.625,7249.27875,7268.225
"D14",5658.13,5671.0475,5652.46375,5673.98625,5698.21375,5721.465,5698.04875,5683.73125,5686.74875,5668.10375,5686.75375,5709.11875,5724.2175,5700.29875
"D15",8355.2225,8746.5875,8349.70125,7840.0325,7945.01375,8095.345,8018.36125,8300.65125,8662.66,8352.4475,7880.9875,7996.74625,8091.6875,7992.59625
"D16",3084.94375,3084.92125,3067.03625,3090.59,3083.09,3060.46875,3085.96875,3097.10625,3093.31875,3079.93125,3095.19375,3085.6125,3065.62,3086.5975
"D17",4043.4825,4045.31875,4062.3125,4066.9925,4063.60625,4071.19375,4053.22875,4054.55375,4060.25,4073.3875,4073.23375,4067.1325,4074.46625,4053.13375
"D18",9560.3075,9582.9675,9636.56875,9565.71125,9567.17625,9580.635,9567.43875,9592.68875,9601.68875,9654.54625,9582.35875,9577.945,9590.88875,9580.915
"D19",2674.2575,2687.3675,2705.21125,2684.75125,2753.72625,2716.08,2702.02,2685.29875,2696.8225,2713.76,2690.78625,2751.45,2716.9175,2702.515
"D20",10840.9625,10824.1625,10858.75,10848.8,10867.5375,10883.925,10871.7125,10865.9375,10853.7625,10887.6875,10875.125,10883.7,10905.8,10882.275
"D21",2664.85625,2677.64625,2694.76625,2671.0425,2738.5,2702.455,2690.23,2676.61,2690.3275,2703.88375,2677.23875,2734.2125,2698.615,2686.74625
"D22",2845.67,2868.23375,2899.345,2893.6875,2914.73,2898.32625,2870.83125,2861.80125,2876.11,2907.70875,2897.5775,2913.69,2899.29625,2872.295
"D23",1913.69375,1926.83875,1941.0475,1941.14375,1951.16875,1933.445,1930.9375,1917.7825,1929.86,1947.32125,1944.26,1950.545,1934.705,1930.70625
"D24",2538.13625,2558.43875,2586.81375,2585.33875,2600.085,2584.0925,2560.35125,2553.8625,2565.68,2593.785,2585.60125,2599.08625,2584.9825,2563.4925
"D25",1585.635,1597.07875,1608.45125,1608.2675,1615.1425,1600.43,1598.46375,1588.9325,1598.475,1612.80875,1610.60875,1615.04125,1601.92625,1598.48
"D26",2359.5325,2378.35375,2403.0525,2399.64875,2414.775,2399.44875,2378.37375,2372.95375,2384.93625,2408.7775,2400.07625,2411.88375,2399.795,2380.01625
"D27",1708.9625,1720.52375,1733.79625,1732.35375,1738.90625,1723.07125,1721.7,1712.875,1723.465,1739.1125,1733.96625,1738.32,1725.1375,1722.10625
"D28",426.905,430.3115,430.3705,429.2365,429.48925,425.828,425.23475,427.0625,431.31525,431.977125,430.89025,431.10875,427.108,425.891375
"D29",6414.7125,6458.7075,6415.8125,6424.10875,6440.8325,6444.97,6426.74875,6430.00375,6473.8625,6434.3675,6435.63875,6446.4425,6452.77125,6427.6675
"D30",613.2255,618.073,617.667875,617.23575,617.877625,612.437,611.4885,613.675,619.2625,619.757375,619.1375,620.108875,614.26575,612.633375
"D31",2124.82875,2096.995,2112.25625,2132.395,2167.59875,2134.92375,2133.13625,2128.09625,2104.1475,2120.02875,2139.4325,2168.575,2137.2925,2135.2925
"D32",1925.58375,1902.34625,1916.08625,1931.705,1961.7825,1934.3325,1932.33625,1928.745,1908.7425,1924.97375,1938.505,1962.78625,1934.8975,1933.0125
"D33",6690.0475,6694.0625,6846.005,6817.2875,6802.3825,6794.06625,6776.36,6714.705,6730.92125,6868.375,6833.8575,6810.92875,6794.4875,6774.18875
"D34",2274.11625,2274.10125,2296.13,2294.88625,2292.5975,2289.585,2287.355,2280.17125,2278.3875,2303.19125,2298.7925,2294.5,2290.055,2285.9075
"D35",1663.66,1673.50375,1661.1375,1659.7925,1650.82875,1663.90375,1668.61375,1676.055,1682.51,1666.57125,1661.355,1648.75625,1664.27,1671.625
"D36",3781.58625,3777.83,3770.2575,3763.8275,3837.515,3812.90125,3793.97125,3788.4825,3786.06,3782.03625,3777.87625,3838.5425,3816.94875,3795.97
"D37",2456.29125,2498.19,2488.26875,2503.5975,2533.9025,2488.18125,2454.6525,2466.05375,2506.46625,2496.20375,2506.17,2531.125,2489.6775,2457.8175
"D38",2250.46625,2319.87625,2258.52125,2329.09125,2372.755,2271.855,2300.74875,2263.6725,2325.32875,2266.54,2335.03375,2364.08,2273.22625,2299.51625
"D39",2462.29125,2470.1775,2490.745,2520.585,2565.7175,2529.9225,2533.58375,2473.61375,2487.34375,2498.46875,2526.995,2566.22125,2529.93375,2532.05125
"D40",3918.69875,3933.735,3957.94625,3951.07,3932.625,3910.8925,3911.27375,3927.0825,3944.28,3970.0325,3960.7325,3933.98625,3913.1175,3911.9175
"D41",6593.835,6676.5475,6389.88375,6469.395,6516.2825,6576.32125,6558.58625,6624.71,6690.6325,6436.42375,6499.93125,6536.26125,6587.14,6560.05
"D42",7019.3025,7089.44875,7079.62375,7085.39375,7067.70875,7108.6675,7007.6825,7058.4925,7108.89125,7080.67625,7086.6575,7065.91625,7115.6675,7018.55375
"D43",1128.2675,1129.57125,1133.42125,1131.57,1123.23375,1123.89625,1129.47,1132.6925,1132.63125,1136.95,1132.915,1124.255,1125.2575,1129.27625
"D44",8559.1825,8584.275,8586.54625,8582.7725,8581.93875,8623.4625,8605.6275,8581.89875,8606.4225,8607.4775,8594.3725,8585.27875,8626.75875,8612.5875
"D45",1118.84875,1120.2425,1123.31875,1122.07125,1126.2,1126.60375,1124.8425,1123.2925,1124.2625,1126.35125,1123.58875,1127.20375,1126.69125,1124.62875
"D46",10088.2625,10130.7875,10239.275,10161.4625,10239.3875,10230.8625,10215.4625,10157.35,10192.5625,10271.4875,10189.25,10253.0875,10244.975,10228.6625
"D47",1019.22375,1023.35,1022.3075,1017.24375,1018.46875,1020.52,1013.20125,1021.9975,1024.6,1023.74625,1019.065,1020.00375,1021.84,1014.59125
"D48",10475.95,10522.5875,10560.5125,10539.4375,10456.3875,10442,10489.9,10523.3125,10545.9,10583.375,10555.0625,10471.1125,10459.2875,10500.3375
"D49",11079.125,11106.0875,11140.4,11119.7375,11033.4375,11040.325,11091.2625,11121.6125,11137.1,11173.075,11133.8125,11045.3625,11053.15,11094.6875
"D50",9879.12,9930.36,9996.9775,9924.3925,9989.8225,9982.855,9949.14125,9907.8525,9948.18625,10013.9,9952.96125,10017.715,10018.955,9993.805
"D51",1016.32625,1021.23,1031.14875,1023.8575,1031.7375,1030.84375,1028.56125,1024.06875,1027.0075,1034.495,1026.27125,1032.92,1033.05875,1030.895
"D52",2896.565,2897.915,2935.23625,2891.84,2886.4375,2890.02125,2897.11125,2907.69625,2903.9975,2940.74375,2893.4375,2886.23125,2893.15125,2899.9
"D53",1104.97,1105.71625,1110.00375,1107.73625,1110.2575,1112.83,1111.4475,1109.32125,1109.15625,1113.34875,1109.93125,1110.87375,1113.56125,1111.5925
"D54",2828.75,2843.6675,2838.78375,2846.30625,2839.47625,2839.1625,2829.58625,2838.84,2852.485,2848.345,2850.95875,2841.18625,2842.34125,2831.46125
"D55",1079.20375,1080.05125,1079.23875,1080.2875,1080.09875,1084.50125,1080.8,1082.85625,1083.3375,1082.315,1082.0775,1081.24875,1085.46125,1081.5775
"D56",10491.15,10500.5375,10556.3,10527.775,10569.025,10576.9875,10573.2875,10529.3,10533.525,10585.7125,10551.775,10580.4875,10584.9,10576.7625
"D57",1712.63875,1719.12875,1722.2025,1714.34875,1708.5275,1710.8425,1719.265,1718.13,1723.49375,1726.135,1717.4575,1710.72125,1713.14125,1720.00125
"D58",1673.38125,1688.02125,1686.96,1685.99125,1677.84875,1670.45125,1678.09625,1679.525,1691.56875,1692.08375,1688.4825,1679.2225,1672.63,1679.9925
"D59",4916.955,4936.30875,4971.21625,4947.83375,4925.995,4950.4725,4931.68625,4939.315,4954.77,4984.45,4952.98,4931.86125,4954.475,4932.2975
"D60",4116.9425,4094.8525,4097.1025,4099.385,4088.55375,4114.815,4086.865,4123.81625,4107.3425,4108.925,4107.3725,4093.8525,4117.87,4089.1425
"D61",3701.75625,3712.37375,3666.54125,3689.2625,3656.71875,3683.5925,3681.24625,3696.94375,3707.65875,3676.305,3698.74,3665.8475,3690.97375,3682.02375
"D62",5720.44375,5725.47625,5699.05625,5699.10375,5661.6675,5666.2875,5678.435,5740.7575,5734.82625,5709.18125,5703.7725,5669.61625,5676.8275,5683.6275
"D63",4732.6375,4707.4075,4713.0875,4728.24875,4726.395,4738.62125,4725.80375,4744.19125,4724.5975,4730.59375,4739.32125,4730.5225,4741.18625,4723.55875
"D64",1046.42625,1057.13625,1058.5625,1049.4325,1044.23625,1062.10875,1056.98875,1050.6425,1058.87625,1061.19625,1050.31375,1045.205,1062.68125,1056.51625
"D65",3558.06125,3578.61625,3548.30125,3554.805,3546.9375,3588.695,3564.77625,3569.74375,3588.26375,3563.82375,3567.125,3553.12875,3594.51,3569.3275
"D66",1422.61875,1405.13125,1395.07125,1387.6975,1399.395,1392.70625,1398.895,1425.2075,1406.6125,1397.92875,1392.01875,1401.7725,1396.35625,1402.39125
"D67",5133.02875,5174.07,5082.24875,5142.45125,5107.1975,5095.08,5153.5125,5150.72375,5177.41375,5100.6675,5144.4475,5110.28,5105.3775,5158.25875
"D68",5540.35875,5581.06,5540.86125,5562.60875,5586.35125,5544.51625,5551.7375,5565.8775,5596.5775,5559.29125,5572.43875,5585.485,5552.9875,5556.63625
"D69",3956.2125,3953.75,3970.04375,3960.08375,3962.2125,3974.52875,3970.43625,3966.82375,3962.92125,3978.535,3969.9925,3968.515,3979.235,3972.67
"D70",3987.685,4130.5975,4117.255,4065.4125,4041.51125,4028.17875,4042.7575,3976.0175,4155.77625,4140.16875,4081.15625,4042.73625,4015.2175,4015.38375
"D71",2544.54,2545.64625,2542.9675,2529.81,2534.10875,2535.23625,2536.8875,2549.9825,2549.75375,2546.8925,2534.0375,2537.65875,2540.80375,2539.50875
"D72",1915.915,1921.7,1923.27625,1913.915,1907.34875,1912.08375,1922.70375,1922.06625,1925.63,1927.3825,1915.2375,1909.435,1913.7875,1923.645
"D73",1026.04375,1029.31875,1030.17875,1025.4075,1025.05125,1027.8475,1020.7875,1028.17625,1030.76625,1031.37,1028.1075,1027.25375,1028.96125,1022.11125
"D74",1667.22,1668.02125,1667.94125,1678.345,1679.04375,1679.89375,1677.05,1673.02125,1673.52125,1674.01375,1683.27,1683.64125,1683.56875,1678.49625
"D75",1644.99375,1655.0175,1655.09875,1650.25,1650.73625,1654.53375,1645.33625,1647.9575,1656.5375,1657.81,1653.30625,1652.79875,1657.8475,1646.19375
"D76",1800.35,1805.8925,1811.12875,1811.0975,1818.7875,1806.5225,1813.2075,1807.68875,1812.295,1816.6225,1816.4725,1823.62625,1813.71125,1816.3975
"D77",1940.15375,1947.34125,1945.68625,1948.535,1948.19875,1947.20875,1942.9175,1945.5175,1952.20625,1950.91375,1952.6925,1949.19,1949.595,1943.9825
"D78",3188.41375,3229.33,3222.51875,3236.39125,3245.98125,3264.04625,3208.11125,3207.2725,3241.50625,3233.89875,3242.37625,3246.34375,3259.8775,3211.27875
"D79",9951.19,9986.015,9990.0475,9945.15875,9923.13375,9959.84625,9908.45875,9976.75875,10001.3225,10003.4675,9959.62125,9940.7575,9973.61875,9918.90875
"D80",2489.17125,2497.12125,2503.40625,2501.43125,2513.40875,2503.44375,2506.80875,2501.91625,2506.55625,2509.97375,2507.095,2518.75125,2511.9725,2511.87
"D81",1572.425,1575.825,1571.10375,1562.82,1567.645,1571.52625,1566.67875,1576.245,1577.7725,1573.575,1565.5825,1570.13875,1573.9,1568.61875
"D82",1107.46875,1110.005,1114.50125,1112.6125,1104.23625,1104.64375,1109.1875,1111.19,1112.4525,1117.01375,1114.5625,1106.0475,1106.845,1110.19875
"D83",2928.58625,2929.85875,2968.14875,2918.8175,2922.365,2918.68125,2924.29,2935.07,2935.29625,2973.97375,2923.13375,2923.15375,2922.06625,2928.47875
"D84",1721.68375,1727.8075,1730.03125,1730.83125,1730.11875,1731.4725,1731.94625,1727.62,1731.78875,1733.945,1734.4875,1732.11,1733.9725,1732.5725
"D85",6432.2875,6365.04875,6376.855,6388.56625,6439.57875,6396.9025,6333.4125,6438.19125,6370.255,6388.46625,6405.5725,6442.24875,6409.46375,6356.095
"D86",7168.765,7184.21875,7171.45125,7164.3525,7174.46,7177.6925,7104.07375,7208.61125,7212.4,7192.10125,7175.12,7168.76,7182.29625,7123.41
"D87",2166.845,2165.0025,2180.1675,2170.635,2165.43125,2171.66,2158.56375,2179.82875,2177.04125,2185.8325,2174.17,2168.9525,2175.435,2159.67375
"D88",2265.44625,2266.68125,2277.79375,2269.45375,2261.95125,2270.77625,2255.3675,2278.71,2277.49625,2282.91125,2271.505,2264.525,2274.2725,2255.72875
"D89",2048.1325,2052.2775,2066.75125,2060.89625,2054.65625,2049.3675,2044.95625,2060.25125,2061.63375,2071.1025,2063.55875,2057.69125,2053.50625,2046.06125
"D90",2059.295,2062.48125,2076.25375,2073.525,2067.435,2060.59,2057.60125,2070.16375,2072.465,2081.305,2076.81875,2070.68625,2065.3675,2058.565
"D91",2059.25,2062.51375,2076.5375,2069.9075,2061.435,2062.1625,2054.2425,2071.11,2072.05,2080.45875,2071.605,2065.10125,2066.41125,2056.3075
"D92",2078.11,2080.16625,2093.36625,2092.34,2088.09625,2078.4175,2076.34125,2088.77,2089.175,2098.28625,2095.6075,2090.92125,2082.755,2077.82875
"D93",2336.05125,2339.095,2348.1975,2340.9625,2336.76375,2349.4125,2323.80875,2348.37375,2349.5775,2352.70375,2342.98875,2340.83625,2353.84375,2325.22875
"D94",2152.74125,2155.6125,2168.35,2171.445,2165.73375,2152.91375,2153.8475,2162.99625,2165.68375,2173.735,2174.83875,2168.54,2156.61125,2152.63
"D95",2127.04125,2130.545,2141.935,2144.63875,2138.23125,2127.18125,2127.09125,2136.67125,2138.93875,2147.45375,2147.51125,2141.12375,2130.11875,2126.54875
"D96",2049.265,2052.6625,2067,2059.98,2052.55,2051.37875,2045.83625,2061.555,2062.68875,2071.66,2062.21,2055.895,2055.65625,2047.82
"D97",2101.2875,2104.85,2116.3625,2116.71375,2113.2875,2102.99875,2100.37625,2109.98625,2112.9825,2121.5325,2120.3275,2116.96625,2107.7575,2101.23125
"D98",1917.46625,1923.52375,1919.435,1914.3775,1917.96,1918.13,1911.27125,1925.025,1931.515,1924.085,1917.84625,1919.4625,1920.6225,1910.47
"D99",9817.825,9854.99,9856.8575,9920.04,9923.62125,9889.85625,9976.31875,9828.26,9886.68375,9898.50625,9953.455,9946.65625,9902.10125,9955.86625
"D100",934.159125,933.924125,936.043875,941.272875,940.565,936.150625,932.035625,936.827875,937.2705,939.639625,943.240125,941.953375,936.74925,931.297875
"D101",12031.525,11937.2875,11958.1375,12088.0375,12029.2125,12039.925,12031.55,12072.575,11978.75,12000.4125,12111,12041.1625,12038.025,12033.7875
"D102",1626.325,1614.67125,1616.38125,1634.56375,1626.5875,1628.82625,1628.71875,1633.14875,1620.9825,1622.2225,1638.0175,1628.49,1629.45625,1629.35125
"D103",7178.15125,7255.66875,7233.71625,7219.805,7271.84125,7264.3825,7197.6575,7210.2525,7274.80875,7254.85375,7240.11,7273.465,7271.14,7200.2075
"D104",9263.7675,9292.28875,9248.585,9276.50375,9222.06125,9242.3525,9270.39875,9294.475,9322.4725,9276.4825,9290.91125,9234.135,9254.11875,9273.48625
"D105",11018.975,10992.9875,11028.475,11066.7125,11133.1875,11097.5,11108.775,11054.7125,11022.275,11063.0875,11088.25,11138.95,11106.9625,11110.725
"D106",953.47425,951.671,956.2945,955.762625,961.294625,962.526875,960.61425,957.563875,954.24575,957.676125,957.27375,961.598375,963.121125,961.861
"D107",945.00125,942.965125,947.922,946.9225,952.130625,954.104125,952.43675,949.434625,945.87075,949.36725,948.43575,952.670875,954.717,954.077625
"D108",1311.47,1318.61875,1310.62,1316.45,1324.0725,1323.53875,1317.22125,1316.5825,1321.86,1314.59,1319.1225,1324.53375,1323.85375,1317.4225
"D109",1257.87875,1263.97625,1256.08375,1261.59625,1268.59125,1269.11,1264.27375,1262.36625,1267.08125,1259.84125,1263.865,1269.85375,1269.8525,1265.0775
"D110",1329.08125,1336.70625,1328.78625,1334.55,1341.2475,1341.29375,1334.9675,1334.16375,1339.37875,1332.5825,1337.45375,1342.2375,1341.4975,1336.07125
"D111",9170.48125,9310.5125,9375.06125,9325.32375,9317.74875,9352.1675,9232.175,9214.45375,9335.26625,9395.8325,9341.6275,9327.955,9363.5525,9243.46625
"D112",6922.4825,7018.6075,7063.60125,7024.2575,7043.33,7058.43,6973.72375,6960.41,7042.4025,7080.575,7038.1,7047.53875,7062.52875,6976.65375
"D113",7423.6375,7529.02125,7573.225,7533.8425,7548.39875,7569.02625,7478.78875,7465.81875,7551.1425,7592.5775,7550.6475,7555.305,7575.29,7485.9375
"D114",6838.8825,6778.08375,6856.8375,6858.765,6860.3375,6917.97875,6813.28875,6820.83875,6810.975,6884.9175,6881.35875,6874.21375,6915.83875,6797.22375
"D115",8519.02,8350.46375,8351.7925,8347.27375,8505.88375,8673.16625,8482.58375,8529.8675,8370.17125,8368.225,8370.3625,8511.9025,8679.4425,8484.75
"D116",7847.59375,7776.90875,7863.525,7878.6775,7876.20625,7944.8475,7815.42875,7829.49125,7822.69125,7901.5175,7908.55,7888.82125,7937.2725,7800.12375
"D117",1326.08375,1333.84375,1333.18375,1327.92375,1327.8075,1323.5025,1326.7975,1327.3425,1335.96875,1336.88375,1330.555,1329.89625,1326.08375,1326.89875
"D118",9084.49875,9165.4375,9186.53125,9210.485,9190.4,9166.37875,9123.225,9107.11875,9196.2325,9216.19125,9234.6975,9211.355,9179.62,9130.6225
"D119",9031.90125,9114.5025,9128.74125,9147.01125,9130.7125,9106.27875,9062.33375,9058.59,9143.08375,9160.82875,9167.5425,9146.30375,9116.53875,9073.60875
"D120",5240.74375,5268.79375,5258.8625,5256.0425,5293.1075,5300.53375,5249.985,5263.91625,5286.11375,5275.35,5270.08,5298.82875,5302.4325,5252.41
"D121",6925.75375,6966.8425,6950.50375,6951.75375,6994.9125,7005.5775,6934.40125,6955.04625,6983.36875,6971.20625,6967.44875,7005.815,7016.25875,6946.22125
"D122",5616.9,5648.3325,5640.66,5637.495,5674.13125,5682.42125,5625.4125,5639.56875,5663.86375,5657.61,5648.8925,5678.72,5685.30625,5628.1775
"D123",9417.83375,9455.94375,9461.74875,9517.45625,9520.74625,9488.31125,9567.7975,9426.5875,9490.21125,9504.065,9550.7025,9543.94,9500.43125,9551.64375
"D124",1104.90875,1110.13125,1107.0775,1115.5125,1116.2175,1112.46,1121.40125,1105.29625,1112.65125,1110.95125,1118.83,1118.79875,1114.2625,1120.0175
"D125",632.25375,637.252625,640.539,642.89075,644.75575,640.128625,632.198125,636.975,640.723625,642.8875,643.736875,644.913,640.3515,633.544125
"D126",952.3975,957.095625,956.971,957.99975,966.61525,960.46875,957.089625,955.19625,960.3205,960.51625,960.666625,967.450375,960.5755,957.02925
"D127",10756.775,10711.9875,10704.85,10757.675,10751.925,10729.4625,10743.8875,10775.875,10738.725,10742.85,10791.4125,10773.55,10742.55,10744.0375
"D128",1790.8525,1774.85875,1831.865,1809.3325,1790.22375,1827.1525,1819.8675,1784.84625,1782.2,1829.375,1807.3525,1798.805,1826.25125,1816.80625
"D129",10915.775,10571.5,12005.325,11196.075,11385.8625,12396.8875,11732.6125,10807.6,10694.3375,12003.2125,11285.5125,11420.2125,12278.1375,11628.1375
"D130",6011.12125,5957.4075,6129.55375,6034.47,6148.24,6087.07875,6016.305,6054.72,5991.76375,6122.09625,6019.23,6120.8075,6071.72125,6014.01125
"D131",10981.5,10909.0625,10837.3125,10756.5625,11361.075,11152.625,11058.475,10953.8625,10936.8,10877.025,10788.075,11326.1375,11118.275,11015.1625
