"id","V2","V3","V4","V5","V6","V7"
"Y1",7263.57,7304.20875,7343.7575,7390.16375,7435.98,7483.14375
"Y2",1622.4875,1634.16875,1653.555,1678.91125,1692.69,1703.87625
"Y3",8591.55,8806.9825,9018.80125,9243.35625,9469.7075,9683.14375
"Y4",9906.265,10146.625,10376.05,10620.45,10867.8,11099.3625
"Y5",7118.9,7365.9875,7606.6225,7856.91875,8112.18625,8338.78
"Y6",4294.795,4482.56625,4667.1275,4851.0725,5029.66875,5185.625
"Y7",3936.46,4076.71125,4215.6675,4353.4775,4481.4875,4595.76375
"Y8",2421.36625,2432.38125,2443.85125,2455.17125,2462.9775,2468.7725
"Y9",2331.1325,2353.12625,2374.3025,2395.62875,2413.91375,2429.86375
"Y10",2389.98625,2412.88,2434.465,2456.41125,2474.9975,2489.595
"Y11",1507.79375,1520.43625,1532.9625,1545.41375,1556.10375,1564.58125
"Y12",2028.1475,2070.09125,2111.74875,2153.3075,2190.82125,2225.66
"Y13",4695.21875,4815.015,4941.06,5070.1725,5194.43,5329.35125
"Y14",5125.54625,5238.605,5358.26625,5477.73,5591.48125,5715.36875
"Y15",5484.57375,5648.24375,5820.675,5988.53625,6160.35,6336.88875
"Y16",2550.235,2589.6375,2631.32125,2676.53375,2715.6975,2756.43875
"Y17",3859.9075,3951.13375,4046.82625,4144.91,4233.23,4327.16625
"Y18",3169.76,3220.32,3275.86875,3332.60625,3383.7025,3437.42875
"Y19",3205.42875,3369.73,3547.65125,3722.9025,3879.04375,4061.49875
"Y20",6646.4475,6772.7975,6900.265,7030.05125,7157.5075,7272.25
"Y21",9948.31,10346.7125,10757.5125,11164.275,11569.725,11928.925
"Y22",4841.115,5053.23,5283.435,5510.755,5724.89,5924.655
"Y23",10509.075,10656.9875,10805.225,10952.8375,11102.025,11223.75
"Y24",9734.3125,9950.83375,10186.51,10410.175,10625.9625,10812.675
"Y25",2561.805,2646.385,2732.89875,2818.63625,2900.515,2969.61
"Y26",8140.92875,8457.1825,8798.42875,9136.8325,9459.675,9758.6925
"Y27",1921.85375,1987.0275,2053.13,2118.31625,2181.8975,2238.3575
"Y28",1883.93125,1946.385,2009.3525,2071.29625,2131.85625,2185.54375
"Y29",4327.12125,4382.4425,4435.18625,4486.745,4534.1525,4573.88375
"Y30",4574.3875,4678.77875,4784.5825,4890.32875,4984.3725,5071.90625
"Y31",3854.54,3878.7,3900.6275,3927.4025,3943.52875,3953.37
"Y32",5521.965,5589.835,5654.9375,5719.16,5775.94125,5826.8975
"Y33",1286.935,1303.19875,1320.28125,1337.085,1351.26875,1363.25
"Y34",1720.55625,1738.1775,1755.18375,1773.00875,1787.27125,1799.42
"Y35",3485.545,3552.97625,3618.42375,3684.10375,3743.67875,3796.43
"Y36",1185.14125,1195.74375,1205.91875,1216.11125,1224.83125,1231.74125
"Y37",4106.625,4178.40625,4245.84625,4314.2825,4376.5275,4431.935
"Y38",3592.33125,3961.7775,4252.23625,4639.80875,4850.69125,5023.74625
"Y39",3825.4775,3931.85125,4044.45875,4176.385,4297.91375,4401.18125
"Y40",4785.4925,4934.0825,5082.49125,5256.465,5423.5675,5579.05625
"Y41",14737.825,15032.1625,15293.675,15618.725,15917.4125,16195.8
"Y42",5895.38625,6204.52125,6516.30875,6851.9875,7189.56625,7484.21375
"Y43",2947.8375,3076.93875,3207.08375,3345.955,3488.7575,3611.7425
"Y44",10277.7375,10578.625,10888.7125,11228.95,11569.5375,11852.475
"Y45",10255.5,10538.2,10822.2875,11134.3875,11442.2125,11702.0875
"Y46",6433.48375,6712.04625,6984.14625,7287.70125,7560.56375,7798.9425
"Y47",6433.30125,6720.1125,6998.52125,7303.2975,7591.9425,7836.78375
"Y48",6724.72875,6741.67375,6729.83125,6720.035,6692.95625,6694.7225
"Y49",2519.79375,2541.40375,2555.21,2575.0425,2587.36375,2603.68375
"Y50",18723.65,18977.9,19194.925,19458.9125,19673.6125,19903.725
"Y51",8238.50625,8334.0975,8408.53625,8499.46125,8574.2225,8653.055
"Y52",18135.7375,19343.8,20563.2,21867.425,23146.0375,24377.3375
"Y53",20122.2375,21439.125,22886.3625,24458.15,25625.4125,27085.25
"Y54",9115.62,9849.64875,10634.8625,11462.5375,12279.425,13070.3625
"Y55",2813.05875,3039.99125,3285.09,3536.21375,3782.60875,4025.17
"Y56",12549.2875,13743.975,15056.2625,16369.2,17653.9,18950.075
"Y57",2137.52875,2244.64125,2352.18375,2466.425,2579.1675,2680.58125
"Y58",10088.2375,10322.2875,10546.9,10801.6125,11045.875,11270.65
"Y59",10150.1125,10301.1,10431.35,10578.225,10712.975,10850.775
"Y60",10186.7625,10410.3125,10623.7375,10855.625,11088.8625,11319.9125
"Y61",10074.7,10224.7375,10345.7,10487.0375,10633.8375,10831.275
"Y62",10106.425,10343.5625,10625.4875,10992.05,11197.85,11530.0375
"Y63",10297.875,10668.6125,11088.4875,11522.65,11978.3125,12474.9875
"Y64",13459.1875,13813.6375,14140.4375,14481.4375,14840.7125,15209.3375
"Y65",10728.4625,11091.55,11475.0375,11855.9,12243.525,12665.65
"Y66",10421.875,10848.675,11297.55,11738.6875,12207.7125,12644.9625
"Y67",10087.1375,10276.75,10475.6125,10705.0125,10915.625,11113.725
"Y68",10006.95625,10115.8,10226.3125,10359.7875,10462.1375,10578.8625
"Y69",10235.1875,10532.0625,10861.8875,11194.825,11533.5625,11842.3375
"Y70",10125.1,10291.375,10441.75,10621.3375,10805.8875,10999.05
"Y71",10075.35875,10268.725,10448.6375,10652.9,10859.375,11112.4625
"Y72",10358.7375,10676.2375,10968.85,11299.8625,11601.475,11850.8125
"Y73",10173.725,10265.575,10313.4125,10412.9,10444.1375,10527.2125
"Y74",10233.075,10411.5125,10566.275,10755.325,10897.3,11052.525
"Y75",10109.7375,10195.4875,10267.675,10354.925,10419.4125,10482.4375
"Y76",10193.2375,10358.475,10516.1625,10678.85,10836.5875,10975.8125
"Y77",10321.35,10622.5,10893.5625,11189.85,11482.0375,11775.875
"Y78",9920.4175,10272.675,10672.5375,11096.125,11514.55,11897.675
"Y79",4937.7775,5155.13,5406.36625,5705.01,5947.63625,6145.92625
"Y80",3856.1325,4054.46375,4225.6125,4428.9025,4564.18125,4680.76875
"Y81",4523.9075,4692.92875,4855.77875,5047.175,5226.41875,5365.7575
"Y82",11184.4875,11583.7875,12037.55,12576.325,13066.9875,13607.9125
"Y83",9624.58375,9994.5775,10402.6625,10831.6,11275.3,11666.525
"Y84",3735.8875,3740.41875,3734.4075,3730.96625,3728.21375,3735.125
"Y85",1600.49125,1618.03125,1632.035,1648.9375,1660.1925,1676.78625
"Y86",2554.06125,2592.08375,2620.42375,2653.1125,2667.61625,2708.60875
"Y87",10129.25,10328.9625,10490.05,10695.225,10865.9125,11090.7
"Y88",9682.9775,9782.10375,9912.41125,10055.32875,10120.94375,10239.60625
"Y89",1070.40375,1151.915,1224.54875,1326.65125,1369.12375,1428.3625
"Y90",6456.925,6594.02,6764.25125,6938.615,7035.905,7156.4675
"Y91",8068.5975,8161.6475,8214.38125,8279.42125,8327.765,8393.93875
"Y92",1819.75125,1929.3625,2033.21625,2140.71375,2222.91125,2307.4175
"Y93",8041.8825,8048.1825,8036.4475,8042.9175,8034.56875,8049.9925
"Y94",6679.90875,6677.0775,6656.2875,6645.36625,6618.3325,6616.88125
