"id","V2","V3","V4","V5","V6","V7","V8","V9"
"Q1",6914.13,6781.2675,6888.3425,6905.77,7016.1825,6892.415,7013.2925,7005.2275
"Q2",7141.045,7089.9175,7212.76,7193.07,7256.0275,7225.6075,7366.1775,7333.7925
"Q3",7259.2675,7179.5775,7225.1425,7187.215,7271.845,7215.3525,7271.14,7218.905
"Q4",7733.5,7750.6725,7790.085,7775.1475,7809.3025,7837.23,7881.24,7860
"Q5",958.41675,843.8215,1159.9325,1395.8575,987.3465,866.23075,1179.7775,1413.1475
"Q6",9820.0125,9726.6,9828.41,9860.735,9856.77,9762.4725,9872.0175,9917.32
"Q7",3369.0275,3351.9675,3345.3175,3358.725,3366.88,3348.1525,3341.1975,3359.2425
"Q8",2600.4525,2560.065,2598.7825,2628.775,2609.485,2569.6925,2604.515,2636.8625
"Q9",2495.61,2467.1675,2482.045,2490.9325,2487.7025,2461.4425,2477.7525,2488.1325
"Q10",2559.375,2538.155,2562.995,2556.005,2556.4275,2539.7275,2566.7125,2560.0425
"Q11",1169.79,1161.92,1158.555,1156.375,1170.8975,1163.36,1160.0025,1159.5125
"Q12",3151.58,2946.6775,3218.865,3395.615,3171.5975,2950.9275,3218.1425,3393.5425
"Q13",1761.455,1761.3775,1781.0325,1779.8175,1803.99,1802.69,1818.61,1818.365
"Q14",12373.175,12255.8,12316.2,12606.475,12714.05,12648.35,12706.975,12992.175
"Q15",1209.875,1178.695,1283.095,1309.1575,1241.8875,1207.475,1307.67,1330.2275
"Q16",2028.6225,2048.31,2130.4025,2126.28,2112.4,2125.5875,2219.1725,2215.8025
"Q17",2450.6975,2475.4475,2423.1225,2485.795,2481.115,2503.9525,2451.9875,2512.6175
"Q18",4650.7075,4448.425,4909.02,4735.3475,4662.4425,4438.2275,4892.3825,4723.4475
"Q19",5730.6775,5699.0975,5780.785,5791.71,5748.33,5727.3275,5815.26,5835.485
"Q20",6305.785,6312.2075,6300.665,6370.6675,6347.03,6350.3975,6344.15,6423.0625
"Q21",9718.53,9683.4125,9764.4425,9850,9747.52,9711.04,9800.395,9898.99
"Q22",5064.695,5081.9225,5188.5075,5250.645,5136.325,5154.95,5262.3725,5328.62
"Q23",5957.1225,5845.065,5996.39,6056.16,5960.085,5849.2975,5995.5775,6060.1225
"Q24",2306.7875,2294.455,2332.25,2322.35,2306.0575,2289.885,2326.4525,2312.8325
"Q25",1362.705,1353.5775,1379.6,1373.9175,1356.255,1349.2625,1375.485,1366.62
"Q26",7478.485,6808.5275,7540.2075,8988.38,7360.695,6782.805,7540.7775,9070.045
"Q27",9156.2125,9034.5175,9235.3775,9283.785,9227.985,9075.2975,9261.275,9284.2825
"Q28",5176.19,5162.9225,5070.94,4993.4675,5196.0875,5210.235,5127.5375,5062.575
"Q29",1962.32,1921.295,1894.475,1883.9425,1966.565,1930.1675,1907.115,1894.43
"Q30",3124.6975,3142.675,3081.5525,3094.3775,3139.665,3160.93,3101.3075,3116.8475
"Q31",2507.09,2557.905,2517.1475,2510.855,2515.4425,2568.0825,2535.9275,2524.8325
"Q32",4848.705,4728.0875,4734.4525,4729.64,4904.0575,4792.43,4799.435,4806.33
"Q33",8283.93,8367.2375,8331.125,8347.8375,8390.91,8466.7425,8432.2675,8442.4225
"Q34",7169.395,7310.325,7250.63,7282.23,7260.2425,7396.245,7343.835,7355.715
"Q35",10149.95,10311.125,10250.175,10150.35,10250.375,10428.2,10355.2,10260.95
"Q36",9237.39,9168.425,9203.1025,9248.2225,9354.6025,9294.2475,9345.515,9414.4275
"Q37",4545.36,4523.5475,4530.6375,4530.115,4563.1475,4568.2825,4592.8975,4606.8375
"Q38",6375.0925,6339.7875,6478.335,6498.145,6472.9925,6439.2575,6584.21,6631.6425
"Q39",5549.46,5735.7025,6225.6125,6045.4575,5649.68,5868.9625,6431.8025,6209.2325
"Q40",5268.15,5320.165,5291.3825,5286.1975,5317.175,5376.645,5356.385,5357.015
"Q41",1917.89,1921.0075,1922.2725,1926.2125,1944.1625,1946.535,1949.9525,1955.8175
"Q42",2135.02,2134.5825,2130.8125,2129.29,2162.945,2160.0725,2159.9025,2160.5875
"Q43",5498.2425,5583.215,5517.2525,5534.995,5549.685,5649.915,5598.56,5621.4175
"Q44",1288.1725,1299.28,1286.8775,1288.625,1307.3675,1317.635,1303.635,1307.12
"Q45",1933.93,1936.13,1940.71,1942.6025,1961.835,1964.8375,1969.32,1971.98
"Q46",3378.3925,3401.7375,3435.18,3420.35,3424.09,3459.9775,3487.3725,3475.655
"Q47",9614.5,9745.8875,9706.85,9812.06,9759.735,9885.335,9825.95,9918.5225
"Q48",1417.175,1399.0725,1424.465,1442.1175,1438.9525,1425.2375,1451.46,1471.205
