"id","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"W1",36399.825,36463.6875,36354.775,36129.8875,36270.825,35996.275,35805.675,35518.75,35719.8125,36197.8625,36407.15,35141.7875,35282.425
"W2",3651.08375,3659.05875,3621.19875,3587.21375,3614.11375,3585.1375,3526.6375,3523.9775,3544.67,3638.7925,3571.08625,3495.265,3480.17375
"W3",9775.10375,9893.5425,9805.895,9609.77,9654.455,9900.7425,9864.51625,9683.61,9672.01375,9903.965,9935.37,9750.25625,9592.16375
"W4",2154.78875,2244.605,2347.825,2599.91625,2464.38875,2698.3525,2609.74875,3323.65,2825.69,2983.3025,3331.07625,3856.69375,4177.9
"W5",1602.08875,1647.5675,1634.34,1725.25625,1721.69625,1884.21375,1750.655,2174.5825,2196.72125,1902.28125,2143.93625,1556.45375,1310.535
"W6",522.980875,576.286875,549.79125,638.765,654.63325,789.379625,724.828625,827.811625,1271.81125,1073.285,956.934125,812.530875,695.73975
"W7",3537.12625,3015.31,2718.8975,2326.7125,4539.0725,3200.82125,3122.9525,2270.6125,7103.97875,7326.115,3770.48,2861.47875,3029.4875
"W8",3909.97875,4509.5975,5522.89375,4299.82875,6372.87625,5081.50375,5296.91125,4062.49,4811.8275,6780.40875,4399.97,3317.65,3157.01375
"W9",8138.67875,7965.66625,9064.40625,8373.38625,9393.80625,7784.57875,8082.79625,9793.4775,9724.84625,9843.04,7783.2675,7228.705,7175.36625
"W10",5048.7175,5024.4025,4952.34875,5420.6475,5366.24125,5404.175,5392.515,5332.8625,5289.99625,5085.725,5041.8125,4956.95875,4871.01125
"W11",369.008625,348.552,356.490375,351.283875,400.930625,466.709375,361.929625,366.762625,392.865125,432.941375,390.352125,358.229875,395.349875
"W12",1044.99875,1064.65,1073.55375,1071.08,1060.4925,1059.0625,1046.95125,1040.465,1032.36125,1031.13375,1034.47875,1050.47625,1040.4875
"W13",2338.16125,2371.66,2398.61,2415.0575,2405.13125,2440.235,2513.87375,2518.19875,2507.8725,2413.95875,2526.075,2591.6375,2585.35375
"W14",2282.7275,2324.0075,2335.99625,2328.12875,2370.2075,2430.3925,2434.345,2462.105,2473.76875,2452.02375,2510.75875,2674.97875,2418.82125
"W15",4336.465,4647.4925,4765.52,4412.8275,4158.70625,4526.905,4236.37625,4144.40625,4007.9625,3632.18875,5126.53625,6986.5075,4348.63
"W16",4301.915,4600.77875,4750.20375,4320.295,4110.69125,4424.7975,4200.4525,4101.4775,4248.8725,4161.23,5188.7575,6936.46375,4314.98875
"W17",11967.7375,11977.0875,11938,11894.1,11947.9875,12004.05,12018.8875,12064.6875,12089.4,12011.6125,11999.8375,12017.125,11948.2375
"W18",4331.21375,4367.50875,4386.94125,4383.8375,4359.5825,4304.05375,4318.02875,4290.8225,4332.125,4355.40625,4403.3825,4405.52125,4400.7325
"W19",2854.53375,3185.20875,2664.8825,2837.51125,2692.95375,3719.65125,3006.45625,3223.4125,3686.4275,7395.75375,6770.67375,4086.27125,2994.69625
