"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48"
"H1",650.06854499665,587.371293930234,545.584647561645,513.31707825851,493.438819690191,482.671535206616,482.065381934232,497.666178342083,508.889988716044,542.384243636855,590.017135433824,649.111306715713,713.995705941517,764.00936111907,802.68300431872,821.680504417875,835.954707567891,835.618953559601,830.370772080746,814.293118951389,784.847909339886,758.332375288535,738.530106375212,695.900624930021,634.169166826017,575.974768472016,532.430503841539,502.253445383172,482.02146810729,469.61016843042,470.746792088994,479.71074966987,497.658802582002,531.282964213567,583.443507156037,648.085888461235,713.536267935307,765.822831442256,805.239835145156,832.227708976727,839.484463062506,831.535206919229,822.673657777977,805.498620233868,781.726921074563,743.529689238819,730.223827160745,685.843050174863
"H2",2935.01078096496,2640.83895700871,2422.27087957986,2266.2979817362,2154.96671022723,2113.14913863337,2086.1552092383,2164.21741248608,2266.1390713176,2421.85899271319,2583.22372491042,2761.95072387009,2960.85279715087,3145.54876409569,3302.2952064281,3448.1403885273,3546.5205409922,3629.9639232041,3693.81252734278,3726.36298206583,3673.50723199687,3528.27368002862,3387.81202965533,3294.4080571353,3030.85013276032,2720.77223740889,2484.98282553625,2314.19506629798,2214.21356017672,2133.89148629779,2122.26174389211,2192.58677058708,2289.35632555556,2467.98828472537,2663.25284623899,2869.63704626286,3082.69033183966,3301.24130339369,3481.53877439473,3630.37570803256,3747.75815022919,3811.28503729994,3866.36100103549,3890.39067354512,3822.81464253513,3653.20414358206,3501.57871063833,3386.571154062
"H3",1400.97587926425,1356.74655394619,1244.09788802397,1126.30399590719,1040.71973052747,991.145716946076,958.896576827948,938.370830392939,957.490810634847,1002.84778832086,1085.69996410453,1174.25933874265,1238.27235323843,1291.93788465452,1341.87139433381,1385.10336883671,1417.31026246449,1458.62543959709,1492.77332218943,1506.11738168967,1526.37104304938,1520.314782095,1496.76254973763,1444.54670240021,1394.37192609571,1356.66733326574,1247.71276575691,1138.72065487356,1041.77826128571,993.399372361086,963.476970791317,949.198919147988,966.243541448274,1007.10328395043,1088.73850788756,1174.84842664299,1249.32938053309,1302.88072373338,1342.38804413876,1370.32060180972,1393.89429835452,1422.12453642361,1450.89688718673,1480.7936665736,1496.66240957343,1487.94360548431,1457.28897955711,1401.24120809271
"H4",5490.78355156027,5216.70701008164,4831.85513591862,4451.66427486025,4148.42200189348,3929.8423886505,3752.57478812777,3649.20444538766,3631.67109922162,3662.78264040507,3766.07092843989,3955.07474251615,4151.1905062361,4361.28121506463,4603.86177461297,4818.50476819486,5011.66350629004,5238.77125099647,5443.47856893867,5622.58452309575,5735.84849083311,5771.46963996101,5644.28609285388,5475.02950972226,5359.40144782351,5100.09510619534,4744.17439276838,4409.62976915481,4153.13473358363,3947.4437848489,3789.46624068086,3701.67870783977,3696.37952953857,3738.00561974459,3826.55470952052,3994.7037260187,4185.78891060513,4393.83940609332,4628.03084061351,4847.2741223706,5016.24715626628,5220.55733923075,5416.58400438831,5581.73363984411,5706.26028383591,5687.79714513193,5515.42919144911,5356.63553232913
"H5",3396.94477528195,3314.6513899332,3169.41136916317,3026.80240383121,2928.55218590727,2859.38201399966,2815.751917361,2792.21122538939,2799.43553065118,2834.12231846476,2871.34023765613,2928.78707227892,2981.14499546479,3035.50748626905,3118.21937462083,3189.40576871348,3273.09819764939,3361.41994598318,3456.76123166581,3533.40302808841,3590.40980048521,3607.5351335399,3552.63455811874,3460.81273476713,3380.96535742399,3303.95960513966,3162.06434784265,3025.35938493379,2929.90901493569,2857.61753013862,2815.29993826458,2791.88420154887,2798.52697325035,2832.0230396797,2867.25741863535,2925.32513147321,2980.39194318536,3043.07751210464,3116.67095907867,3189.55294086603,3278.60836280586,3380.99323120483,3480.56140502721,3570.11397734633,3636.9074561201,3658.63262579687,3607.51455466786,3509.58244659582
"H6",5107.97487988471,5248.28933331596,5536.65782469768,5813.06658534131,6017.12126046762,6157.04685785449,6283.36223612945,6351.36075157114,6423.81590530846,6492.91091069215,6528.48046807537,6545.92200704778,6617.97588230855,6658.0006713811,6605.87712655594,6474.18865216675,6335.19113293835,6282.36093659694,5979.07652587037,5622.60680747973,5352.73012340637,5173.30920733794,5037.50289825822,4964.46752771297,4963.70494024845,5024.15529405424,5160.49195157385,5390.57498289565,5663.89841114562,5879.12007361702,5992.65644193637,6091.55697727965,6168.72944837395,6207.99634315183,6251.69215385658,6281.90331944833,6320.55033828979,6367.04640579111,6329.26184811119,6256.54232218419,6169.62091369259,6117.48169226344,5838.37848699643,5490.61911746136,5211.16081021031,4999.94067399383,4890.93345233751,4824.64450844405
"H7",47432.9655769673,46882.2090204961,45116.5109610061,41833.7316326026,38819.8198685987,36635.8656552233,35262.9989912341,34468.4175266105,34212.0484430568,34586.0045005617,35557.728925122,37088.2836122662,39040.8280924279,40647.3982578745,42087.4465903493,43279.7566963022,44339.8598779877,45298.9455866995,46669.8617150051,47773.4244738375,48616.504204108,49127.7564481995,48903.508783504,48024.0359322994,46965.0300156109,46555.7604775819,44913.009983056,41807.6129413563,38892.0748505607,36797.724260639,35465.8822607183,34478.1694494768,34172.0306511429,34599.7348324133,35592.7835129754,37037.2703208513,38872.806604054,40624.2810956218,42225.2871218749,43705.5481407748,44870.8364908978,45997.0957019582,47238.0906038193,48515.7093716565,49445.5679607075,50007.6519707268,49776.4947377183,48134.6257809641
"H8",29048.7368047205,26837.1152984138,25220.3507886569,24111.5089095612,23438.7202564989,23248.0812015225,23930.4198579234,24983.7376845932,26380.0547286352,28193.7300839265,30283.3278706481,32546.3460697305,34628.4340158766,36345.7266534435,37704.4347966176,38632.5640333616,39156.2875879096,39364.4445779374,38933.4930451154,37950.8355686591,36626.9602580185,35368.7250400577,34487.6076137104,32024.5745140098,29299.0387278854,26965.2057156203,25395.5200461021,24242.5159611684,23512.9569112013,23287.6789967126,23827.1908425885,24683.9397126456,26014.1057687984,27778.4090336561,29750.1677795923,31970.7602923177,33945.9014966187,35558.0271200383,36954.2015099005,37988.9744105269,38577.6433799285,38888.4918039424,38773.2941332158,37975.1796950703,36517.2752151479,34989.8688792638,33925.668684484,31534.1301168652
"H9",36297.2398111268,33773.7588728695,31754.0277964959,30411.0873811628,29469.1709307479,28902.480975886,28748.9743979801,29435.6940702263,30427.2109449499,31695.5694941371,33397.413895158,35243.5167792682,37182.2509654874,39031.1329526666,40676.8132663309,42101.9568705423,43017.9180752791,43790.20480208,44199.0265855366,44020.1143521798,43354.2625856994,42261.678278347,40899.2410508076,40054.4060058677,37889.7173006647,35226.4738547587,33136.1244224278,31605.0200876583,30520.874550364,29787.2032716223,29576.8637693513,30080.1616317729,30914.3560404361,32296.2843439578,34272.4875953512,36322.3434916538,38473.6917124172,40425.2796715576,42158.2588058661,43737.6648768677,44583.211125943,45293.4386936326,45548.8275340995,45115.4861338337,44187.7773617856,42921.7950833305,41418.5365657066,40448.5012208566
"H10",454.715759172678,449.596623581661,438.01298183963,423.835380952074,414.524433180467,407.392929024199,403.818241244358,403.846244524061,403.059157820729,409.145915861436,417.722540163926,424.709159985808,433.161732300632,442.687060366662,449.552352941496,456.764707642838,461.583077431616,463.471651714755,467.329899822416,470.243058358853,473.035339722774,471.420150760242,468.530999855078,460.818085201079,456.414998355909,450.749857110627,439.169364536575,425.180455453883,416.357825826188,409.464156075763,405.905716268226,404.675964749623,403.651616543362,408.987803929354,417.583480784734,429.742779076313,437.773171864196,447.747387976992,453.41457610062,454.792010344711,457.346655520302,464.469641469063,469.084558647528,470.156196699224,458.408366251538,472.042026908628,467.907406076314,460.034417086842
