"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48"
"W1",35400.0443216196,36121.5938734805,36123.978883302,36391.1270216611,36393.5128785615,36493.3681159478,36495.7513200368,36534.0244600725,36536.4071557785,36551.9960252899,36554.3798311228,36561.61578316,36564.0020811554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W2",3536.91539561338,3611.66935758149,3666.62502660149,3666.64242368285,3666.65985622855,3666.67708406383,3666.69447310884,3666.71196375505,3666.72931611345,3666.74651595216,3666.76349409432,3666.78035313467,3666.79763130183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W3",9692.77787248244,9794.69227386775,9792.31458581799,9742.14079687574,9757.54778346644,9766.80315169118,9776.05851991592,9785.31388814067,9794.56925636541,9803.82462459016,9813.0799928149,9822.33536103964,9831.59072926439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W4",2267.81278442351,2346.42527849934,2418.10041415437,2846.29737773731,2536.93712088768,2786.68564239564,2707.46637612693,3339.75806786653,2905.35396078487,3053.41743340387,3344.30292670226,3774.98812133811,4290.56041429052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W5",1526.24075440521,1652.24839170299,1614.61215704554,1710.17515315453,1672.32013094534,1779.41638895581,1688.9132853312,2131.20772901614,2032.63357488808,1761.70568414481,2094.71927225426,1518.25825111234,1275.64205905856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W6",583.206916634749,620.802711488206,557.361612210716,674.412228805606,669.465951990623,798.238413930185,745.512838189974,804.660950043594,1278.36931322898,1015.66749011519,972.880093038813,839.921239773533,694.688764159266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W7",3314.0383658836,2822.87677694619,2787.1787089446,2758.44300085105,4456.91335940204,3517.96128313366,3392.63680452092,2428.95557650933,6810.96953469375,6675.88357590556,3669.3526825655,2610.58542948477,2684.06027005546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W8",3790.99963472489,4551.83448121033,5565.61503539508,4442.24623387621,6497.36555634085,5750.03999339458,5240.55344013551,4094.88646310049,4694.5671580511,6420.62814260681,4308.62089168862,3352.83105710881,3213.50969830592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W9",8305.1732900574,7816.6188587161,9034.22623747141,8252.40995443732,9569.16048737372,7889.1677069337,8062.90226568719,9754.4226739942,9512.72425800111,9840.25501460565,7722.76223362052,6897.92782382878,7038.28398708279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W10",5122.13999897466,5122.13999795958,5122.1399969445,5122.13999592941,5122.13999491433,5122.13999389925,5122.13999288416,5122.13999186908,5122.139990854,5122.13998983891,5122.13998882383,5122.13998780874,5122.13998679366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W11",324.902980083293,322.096866514528,319.757811572209,318.067301742447,316.745617542515,314.987438937181,312.542705378852,310.900258484554,309.371152560174,307.814087031878,305.831883493137,304.022025569116,302.352721361171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
