"id","V2","V3","V4","V5","V6","V7"
"Y1",7255.99125,7309.05375,7348.63125,7395.8275,7457.2025,7494.785
"Y2",1624.18125,1635.8375,1668.835,1698.92875,1713,1732.375
"Y3",8592.2275,8809.4275,9023.4575,9238.5675,9472.61375,9688.06375
"Y4",9907.0275,10142.525,10382.3375,10620.0625,10872.6625,11108.4125
"Y5",7138.2075,7378.1575,7636.84875,7879.85125,8134.285,8367.42125
"Y6",4295.07125,4486.7275,4695.40125,4887.68125,5067.74,5235.5825
"Y7",3920.62625,4054.30375,4214.56875,4352.29,4477.24375,4600.5875
"Y8",2418.74125,2431.69625,2443.72625,2456.12,2464.86875,2470.53875
"Y9",2329.85,2352.48625,2375.62125,2397.77875,2416.20625,2430.9875
"Y10",2394.53375,2419.42,2445.95125,2470.07375,2487.47625,2502.77875
"Y11",1507.125,1520.31875,1534.28375,1547.37,1557.95,1565.92
"Y12",2025.32875,2067.92375,2111.38625,2154.27,2191.3425,2225.57
"Y13",4686.40375,4813.855,4941.26125,5077.35875,5208.02125,5338.44375
"Y14",5117.90875,5234.89125,5350.96125,5477.7375,5594.51,5713.61625
"Y15",5474.935,5639.03125,5801.96875,5978.66,6139.41125,6309.95875
"Y16",2550.49125,2593.46125,2633.0825,2675.995,2715.76125,2752.18125
"Y17",3856.0725,3950.16375,4045.135,4147.69125,4239.88,4331.135
"Y18",3164.08,3217.9425,3270.6825,3327.71125,3383.215,3432.09125
"Y19",3206.17625,3390.34125,3567.405,3754.855,3929.9025,4132.3275
"Y20",6644.94375,6774.24875,6910.00875,7043.32875,7165.95,7286.92
"Y21",9921.98375,10306.625,10754.025,11169.5625,11558.9375,11940.5625
"Y22",4853.86375,5067.26,5328.59,5566.68625,5778.01,6006.14125
"Y23",10469.2875,10600.825,10824.35,10977.0375,11108.8625,11239.625
"Y24",9747.2175,9964.995,10267.10625,10507.9625,10717.2125,10934.3375
"Y25",2550.08,2630.57375,2727.96,2812.805,2892.5425,2964.80375
"Y26",8148.425,8467.985,8870.02125,9214.90875,9531.66,9883.19375
"Y27",1925.8475,1990.6525,2071.1625,2138.76,2201.96125,2264.0025
"Y28",1876.63625,1936.32625,2010.33375,2072.4,2127.34125,2186.3475
"Y29",4329.84375,4386.645,4449.2625,4504.83625,4548.80625,4590.40625
"Y30",4571.515,4678.34375,4789.13375,4897.39625,4992.91875,5082.27
"Y31",3855.45875,3881.41,3912.3675,3939.2125,3955.50625,3964.61625
"Y32",5526.255,5596.7475,5670.4725,5741.31375,5797.08375,5844.8125
"Y33",1287.085,1304.15375,1322.02,1339.45375,1354.1025,1365.5725
"Y34",1717.71875,1735.5875,1754.87,1773.27125,1787.45625,1798.53625
"Y35",3478.61875,3544.4775,3613.9175,3679.625,3734.145,3786.64625
"Y36",1184.42125,1195.1,1206.52375,1217.215,1225.59625,1232.05375
"Y37",4094.78125,4164.525,4240.11125,4309.45,4368.55375,4422.74
"Y38",3799.69375,4255.99625,4642.83125,5019.52875,5168.4775,5519.685
