"id","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"H1",617.58825,555.80575,521.74225,492.877875,474.16725,464.016625,463.973375,489.25775,496.303375,536.58475,584.102625,648.03775,720.779875,774.020125,810.452375,824.5765,835.102125,824.582125,824.758375,805.318125,774.3605,753.858875,725.684375,680.002,608.37125,545.665375,508.041375,478.442875,460.2225,448.7555,450.02825,468.658125,480.228625,520.979,573.71575,648.55325,728.434625,791.036875,834.29925,862.967625,860.005,834.10375,822.827625,803.759,781.930375,739.762375,721.369375,671.123
"H2",2794.465,2483.6925,2257.23875,2071.32375,1931.81375,1913.31875,1874.4525,1939.5425,2066.84125,2220.78625,2403.955,2616.2225,2866.47625,3096.20875,3296.80625,3483.03125,3607.64875,3723.23125,3802.09625,3818.2825,3736.735,3545.72875,3336.96375,3209.9525,2906.57875,2564.64125,2303.035,2099.17625,1975.30125,1870.60875,1855.96,1912.95375,2040.155,2269.36375,2531.47625,2794.89875,3063.84,3349.34125,3588.45125,3758.33125,3894.98625,3950.7775,3995.23375,3987.19,3891.59,3675.02125,3460.4875,3288.27125
"H3",1457.65,1395,1251.37375,1121.605,1030.39125,971.227625,940.99475,908.219625,928.22775,982.558875,1066.83625,1152.69625,1209.59625,1252.285,1304.5,1344.43875,1387.3125,1424.575,1463.3325,1489.0975,1522.39,1524.99875,1500.80375,1452.075,1416.12875,1374.58125,1239.41125,1114.9075,1001.778625,944.00375,913.112125,888.44625,903.740375,950.493,1026.63375,1102.09125,1172.415,1215.46375,1258.035,1291.395,1326.89875,1347.3375,1382.4975,1421.89125,1438.2225,1444.71,1413.23875,1368.9075
"H4",5357.9025,5113.25375,4742.0775,4353.3225,4031.80875,3796.99125,3592.54125,3479.90125,3454.8425,3503.30625,3601.7175,3786.8425,3971.3975,4184.03625,4432.24625,4646.56125,4849.07125,5112.70375,5352.8075,5611.97625,5796.62875,5861.71875,5735.72,5616.765,5477.025,5204.78375,4829.84,4476.83625,4212.655,3978.39375,3785.28875,3682.905,3659.63375,3709.81625,3747.5125,3859.85125,4010.17125,4214.55625,4430.76125,4636.9275,4805.2275,5016.775,5225.75,5404.47625,5541.91375,5488.9,5294.625,5169.6025
"H5",3606.895,3281.1175,2836.14375,2444.065,2165.32375,1996.53375,1882.2375,1802.48,1807.90125,1885.37,1973.8975,2114.72375,2248.71625,2364.76875,2630.87625,2800.2875,3007.55125,3213.5025,3414.93,3552.84375,3667.26,3746.08625,3616.8275,3387.3325,3131.88625,2921.8725,2576.955,2269.585,2045.1525,1890.83375,1795.7925,1725.11,1730.985,1797.92625,1866.87875,1995.60875,2123.42375,2279.2575,2435.79,2606.92625,2823.85125,3075.85375,3310.8475,3520.3325,3683.51875,3788.895,3711.52,3514.43375
"H6",5153.98375,5343.6975,5690.19125,6021.38625,6306.09625,6509.52875,6677.1975,6813.035,6948.51375,7109.26625,7196.1,7232.40125,7345.24625,7406.145,7311.23375,7123.67,6903.665,6756.5975,6372.13375,5868.595,5523.87875,5250.12125,5033.59,4929.61125,4946.71875,5030.88875,5170,5462.77625,5848.455,6148.59375,6339.80375,6510.86375,6653.7725,6755.91,6844.415,6898.0375,6951.0625,7011.5675,6948.6125,6843.1075,6676.8675,6504.4175,6118.86625,5667.85125,5321.65875,5021.3225,4862.6575,4788.175
"H7",48696.1375,47100.775,44357.6,40086.225,36135.525,33406.2,31912.25,30850.25,30472.7375,30728.575,31645.775,33353.875,35716.0625,37723.5875,39786.525,41788.7875,43613.6625,45252.2375,47442.7125,49054.2375,50293.95,51246.2125,50839.2625,49291.3625,47167.275,45868.8375,43369.5625,39410.4875,35721.9875,33166.3125,31788.0125,30515.4,29994.0625,30264.7375,31159.4375,32737.6625,35078.6875,37295.925,39501.8125,41882.25,43887.4375,45678.8875,47632.5625,49508.1,50684.0125,51487.5625,50906.4125,48207.8875
"H8",28889.4625,26724.725,25009.1,23854.675,23167.175,22986.5625,23761.95,25040.85,26315.5,28008.3125,30035.2875,32322.45,34530.4375,36433.0875,38121.9125,39273.15,40131.3875,40301.9375,39384.8,37830.5125,36378.1875,35369.7625,34350.55,31678.6625,28898.7625,26445.9,24858.05,23678.125,22997.3,22860.1875,23520.3625,24540.7,25638.475,27249.8125,28995.575,31090.1875,32985.05,34656.4625,36384.1375,37804.2125,38756.825,39281.8,39018.125,37798.775,35990.5625,34503.35,33379.85,30902.85
"H9",35384.7,32571.125,30372.35,28759.6875,27648.6625,26951.5375,26662.0625,27346.7875,28388.775,29776.1875,31734.9,34045.6625,36463.125,38828.1125,40761.175,42275.0875,43119.6875,43855.1125,44177.4875,43800.975,43035.2375,41903.425,40348.55,39255.3375,36777.15,33951.9,31716.875,30005.325,28717.8125,27838.325,27508.725,27962.725,28831.0875,30312.0125,32615.6625,35108.0875,37765.5125,40252.85,42294.65,43959.4875,44647.075,45196.5375,45253.2625,44658.1375,43627.6125,42319.2875,40610.7,39405.0125
"H10",462.09225,456.782875,442.0075,424.079,411.07275,403.19775,401.44625,398.64775,398.420375,399.572125,423.506375,417.72325,426.126875,439.511625,441.06175,450.720625,456.5995,459.418,469.749125,475.156125,470.9705,475.933875,476.6165,463.565875,459.61625,453.874625,441.805375,423.88825,413.5355,405.34525,402.85325,399.6975,399.3515,399.217375,423.260375,422.608,431.546375,442.908875,449.060125,451.93875,453.546,464.79675,470.99225,469.804625,443.53075,482.275875,481.27025,467.35575
"H11",27226.3375,26242.35,25744.475,25913.7375,26419.5875,27162.9125,28364.9875,29963.225,31690.8125,33297.4125,34567.5125,35803.95,37377.8125,38551.7875,39349.125,39874.825,39574.2875,38819.325,37732.3375,37029.4875,35137.3,32106.175,29531.575,27817.8375,27316.475,26315.075,25658.375,25712.175,25951.475,26518.4125,27648.05,28918.0875,30273.225,31794.8125,33491.2875,35045.1,36911.3,38242.2625,39182.0625,39601.6,39570.8625,38734.0125,37437.5875,36462.0875,33198.8375,29986.7625,26937.7625,25617.5
"H12",8032.12375,7233.60125,6753.115,6395.685,6212.9525,6162.57375,6416.35375,6782.9175,7224.64125,7800.3325,8436.7175,9018.98875,9507.9325,10009.98875,10468,10902.7125,11130.1125,11237.75,11052.925,10658.95,10188.3,9854.49875,9391.31125,8568.09375,7687.73,6973.8925,6499.01625,6165.37625,5981.6925,5933.76375,6186.69,6494.41625,6864.155,7422.84875,8040.60625,8686.83375,9285.905,9795.6275,10297.1625,10753.45,11053.4875,11137.0625,11021.6125,10668.95,10085.1625,9582.82,9143.14,8367.51125
"H13",576.786625,558.225,501.66525,472.707,454.55025,455.772,477.965125,520.8575,557.1835,596.737,634.846125,688.376375,740.594,697.69075,720.324375,743.391625,769.179375,873.058625,779.74525,770.38925,749.219875,741.792875,713.622625,663.084375,602.6125,578.0515,513.044375,479.65825,457.2115,460.03875,479.768,522.07925,555.663375,593.002125,631.047625,683.122625,726.12325,682.8225,709.753875,748.237125,776.125,871.280375,776.36925,752.049625,720.536,701.57225,674.2245,637.296375
"H14",201.312125,197.2225,178.847875,164.85625,154.509,148.527625,147.5385,144.7055,145.296125,150.30625,159.471625,166.484125,171.10575,178.715375,181.840125,191.77975,198.1305,204.8325,209.151625,213.4205,213.24175,213.310125,209.92475,202.62925,197.48675,190.52525,176.736875,163.26875,153.85325,149.278625,146.74175,145.074125,146.08825,146.97125,157.791875,166.816625,171.59425,178.436375,183.06775,189.635625,196.010875,200.325875,206.723,207.7325,211.3015,207.9615,203.7845,200.27575
"H15",13593.4,12576.225,11771.8625,11235.775,10917.8375,10819.7125,11157.3375,11812.0375,12382.8875,13073.675,13900.45,14985.2375,16069.9375,16996.5625,17797.85,18313.7125,18561.65,18512.5,18114.975,17425.625,16793.9375,16376.9,16083.1625,14955.725,13623.2125,12518.2625,11720.175,11176.525,10828.925,10712.4,10993.9125,11501.1375,12027.9375,12705.4625,13437.8375,14396.5375,15230.1125,16079.55,16910.9,17500.3875,17866.775,18154.0875,18136.725,17555.325,16682.325,15962.0375,15504.9125,14367.975
"H16",1277.71,1163.6975,1048.65875,1058.4025,911.48275,880.5745,863.22875,864.361375,904.579625,945.9155,1008.3275,1083.425,1170.75,1248.87375,1348.21375,1408.1625,1491.06125,1548.3575,1570.135,1569.30125,1516.6725,1454.34875,1421.84625,1379.08,1345.24875,1231.315,1108.8625,1025.875,975.998875,949.712125,925.758375,924.095,951.883875,979.06575,1037.625,1120.72,1197.5,1276.08375,1333.14,1407.3525,1483.3625,1524.58375,1573.46625,1579.91375,1540.19,1468.0425,1406.15125,1350.995
"H17",54674.075,50037.0625,46132,43304.725,41231.1375,39928.05,39421.925,40263.2625,41728.4125,42707.8125,45532.6625,49284.05,53492.5875,57536.95,60956.5625,64163.9125,66668.2,68180.5375,68839,68742.275,67441.85,64683.9875,62140.3,59793.1375,55504.675,50770.625,46862.275,43929.625,41810.8125,40443.35,39948.2125,40583.9625,41742.95,42492.025,45272.0875,49093.275,53276.425,57270.175,60851.6375,63861.9375,66083.6375,67348.625,67972.2125,67623.1125,66153.35,63416.1,60870.475,58814.225
"H18",28482.6625,26242.525,24524.8125,23422.75,22748.55,22618.2125,23513.2625,25226.8125,26504.5375,28732.7625,31740.125,34778.375,37332.5,39192.2875,40180.75,40555.6375,40706.025,40320.8875,39349.425,38239.375,37038.9125,36407.0125,35079.8625,32563.95,29636.95,27215.7375,25317.55,24074.075,23259.9625,23000.2875,23685.05,24937.3125,25906.275,27844.2625,30803.5875,33572.375,36359.125,38288.4375,39444.675,39948.6875,39953.425,39712.9875,38847.1,37486,36004.6375,35395.8,33904.3875,32653.425
"H19",2086.62375,1917.56875,1805.68625,1730.3725,1696.09625,1695.30375,1772.435,1933.325,2032.8625,2208.8275,2429.14,2655.11,2835.38625,2975.4875,3094.31625,3132.2375,3124.81,3023.38875,2853.445,2749.98375,2696.21625,2643.35625,2553.515,2370.07375,2181.0975,2004.24375,1865.12375,1774.6,1725.585,1714.22125,1774.0075,1890.5075,1950.81125,2092.24,2282.27875,2508.27,2713.43625,2844.49625,2910.53375,2936.5375,2931.7425,2898.51,2813.75875,2710.7275,2628.93875,2552.2175,2447.4125,2271.025
