"id","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"D1",2034.41625,2029.135,2036.1425,2036.26,2037.46375,2036.885,2035.7325,2037.48375,2032.91125,2039.05,2037.45625,2036.215,2037.79875,2038.15125
"D2",2964.35375,2956.07125,2970.17,2978.74625,2983.65375,2988.89875,2977.43375,2974.44875,2967.08125,2978.37625,2981.1675,2977.91625,2983.9925,2979.31125
"D3",1122.3725,1120.29875,1117.36625,1117.98,1117.78625,1116.60125,1128.91375,1129.245,1123.89125,1118.8875,1117.38625,1114.93125,1115.5925,1131.7875
"D4",1208.90375,1212.07875,1203.44,1191.0425,1184.9175,1182.51125,1237.46,1229.92625,1218.28875,1203.1175,1187.9925,1178.10625,1174.315,1249.3275
"D5",5871.25875,5875.73125,5877.36875,5904.57875,5904.075,5900.36375,5891.72375,5886.88875,5890.35,5897.88875,5916.83125,5909.195,5903.21875,5898.38875
"D6",3029.3425,3075.5225,3046.77375,3073.2975,3083.34875,3121.67125,3117.0075,3046.32,3081.45125,3054.73375,3070.52125,3082.3475,3119.47125,3120.665
"D7",6433.995,6343.7475,5245.83375,5313.44625,4913.53,5714.39125,5314.67375,6235.645,6229.6675,5335.9325,5446.2325,5039.99,5617.935,5329.91875
"D8",1732.30625,1728.23125,1739.33375,1738.77875,1736.77875,1735.05875,1737.7775,1737.32375,1732.8825,1742.83375,1740.12875,1735.445,1735.5625,1739.65125
"D9",1585.4925,1581.54625,1593.07375,1591.88375,1590.37875,1588.9075,1591.7225,1592.14875,1587.81625,1597.6075,1594.44625,1590.97,1590.60375,1594.75375
"D10",2627.8625,2635.64,2632.11875,2639.15875,2644.575,2640.405,2629.38375,2637.605,2642.76,2638.23875,2640.83625,2643.54125,2642.02,2631.37125
"D11",2437.6225,2437.91875,2435.24875,2442.05125,2421.185,2435.91,2452.355,2445.8575,2444.4025,2442.19,2445.095,2423.09,2437.69625,2453.37375
"D12",3674.6225,3666.105,3688.5,3685.22375,3672.555,3695.8975,3679.82625,3686.71125,3677.29375,3699.34125,3687.87625,3670.94,3693.59125,3684.00875
"D13",7208.2,7219.79,7236.9475,7330.5325,7302.53,7242.2275,7262.4075,7240.485,7248.92125,7265.76875,7334.56875,7289.6525,7242.9825,7268.9875
"D14",5661.865,5673.50375,5657.25,5682.06125,5703.57625,5722.6575,5697.89,5682.40875,5687.6375,5672.9775,5687.04125,5704.3625,5723.3325,5703.87
"D15",8362.1325,8767.09125,8377.53875,7867.9225,7963.45875,8080.4125,7998.50125,8311.5575,8657.07625,8359.14125,7911.1375,8016.615,8093.1725,7997.26375
"D16",3083.45125,3081.21625,3066.6375,3090.7275,3083.585,3060.3175,3084.76125,3095.58625,3088.155,3076.775,3094.92,3083.4925,3065.79125,3090.32375
"D17",4045.01875,4048.23875,4064.17875,4070.29875,4065.92875,4071.9225,4050.02375,4055.43875,4059.15125,4075.08625,4073.83125,4062.735,4068.45375,4052.98625
"D18",9573.06625,9592.3475,9649.5925,9576.0875,9580.92625,9576.93375,9563.25625,9590.26,9603.49625,9662.98875,9592.375,9580.065,9589.94625,9577.24125
"D19",2678.35125,2689.63125,2708.19375,2687.59875,2753.45375,2715.36875,2700.3525,2688.87625,2699.58,2717.48,2691.8875,2748.5325,2715.2775,2703.52125
"D20",10840.175,10819.7875,10861.025,10857.8625,10878.675,10880.1625,10868.7625,10864.8125,10839.8625,10881.6875,10876.275,10877.1375,10889.0875,10879.9875
"D21",2663.1725,2673.91625,2694.01125,2673.74375,2743.31625,2703.6625,2687.86375,2674.51875,2682.04375,2701.49,2675.90375,2737.935,2703.69875,2692.3125
"D22",2847.40875,2868.70375,2900.71875,2899.125,2917.63875,2897.6825,2870.71375,2863.005,2877.0925,2909.7525,2899.18625,2913.80375,2896.28875,2872.685
"D23",1915.2675,1927.55375,1942.915,1943.3025,1951.53875,1931.6925,1929.03625,1918.83375,1929.53875,1947.74875,1943.9225,1949.25375,1933.24375,1930.555
"D24",2538.7775,2558.6375,2588.04625,2586.84,2601.9275,2584.46125,2560.63125,2553.60875,2565.6375,2596.31375,2587.82125,2598.25625,2583.6625,2563.205
"D25",1587.48375,1597.28375,1609.93,1610.7775,1616.625,1601.03875,1598.47625,1590.96125,1599.06875,1613.92875,1611.76,1614.82875,1602.23875,1600.32
"D26",2362.46,2380.11875,2405.6325,2404.38375,2417.86375,2402.55,2382.005,2376.0775,2385.87625,2412.73875,2404.47,2414.83125,2402.3875,2384.8525
"D27",1708.02375,1718.96875,1732.5225,1733.1675,1739.115,1722.2,1720.23875,1711.475,1720.26625,1736.2075,1733.5425,1737.45375,1724.01875,1723.9125
"D28",426.9155,430.1505,430.3715,429.647375,429.958125,425.22075,425.1185,427.2075,431.108375,431.76825,430.861,430.79575,426.396,425.959375
"D29",6411.61125,6449.06375,6411.7425,6427.70125,6445.30125,6441.125,6424.29375,6424.04625,6458.595,6424.37875,6434.9425,6441.85125,6450.7125,6429.54375
"D30",613.428125,617.954125,617.783125,617.59375,618.28375,611.347,610.846625,613.509875,618.917625,619.479375,618.80675,619.4285,612.879625,611.90975
"D31",2124.41625,2097.88625,2112.60375,2133.2625,2168.5175,2132.47,2128.24625,2125.465,2101.44375,2119.9575,2139.3,2165.75625,2132.765,2131.125
"D32",1927.2675,1902.4875,1914.2775,1932.175,1964.53125,1933.63625,1932.47625,1930.4525,1907.29875,1920.85625,1935.39,1961.965,1935.3175,1935.3825
"D33",6686.8025,6689.39,6847.495,6819.2625,6811.37875,6794.2375,6773.62625,6709.2325,6721.90125,6872.0125,6838.66625,6811.00875,6795.59125,6777.95625
"D34",2275.99125,2274.54,2298.14875,2297.6075,2294.97625,2289.415,2286.10625,2280.77125,2277.45,2304.4375,2299.38,2291.83875,2288.175,2285.9675
"D35",1665.04375,1675.4425,1662.99125,1661.58125,1652.40125,1664.21,1668.55125,1677.16875,1684.77375,1668.87375,1662.555,1648.0275,1663.73125,1672.0975
"D36",3785.41375,3779.35,3773.74375,3768.6625,3842.1525,3809.1425,3791.065,3789.37875,3784.8525,3781.5925,3777.4825,3840.4375,3813.45125,3797.7825
"D37",2456.56625,2497.155,2488.56625,2504.51625,2533.8575,2487.61625,2452.63375,2463.77375,2504.455,2496.46375,2506.29875,2528.075,2485.36,2455.59125
"D38",2257.63125,2322.14375,2264.89375,2332.8975,2369.45625,2271.9275,2297.79125,2267.14125,2327.41,2273.64,2336.5675,2358.83,2270.90625,2299.905
"D39",2466.44,2477.39875,2500.4675,2527.49875,2573.315,2528.60625,2532.48625,2475.98,2490.55375,2507.64875,2534.37625,2570.09125,2528.15375,2532.31875
"D40",3922.62375,3936.48875,3962.4975,3957.5425,3937.76,3912.6475,3911.11125,3932.09875,3946.33125,3975.40125,3961.64375,3935.44375,3913.37125,3914.47625
"D41",6596.01125,6681.385,6394.3175,6467.46625,6520.54625,6565.03125,6557.18625,6623.1775,6686.95,6423.68,6489.62,6530.65375,6571.5875,6552.04125
"D42",7024.69,7083.7025,7073.935,7085.24625,7062.6725,7094.90375,7004.855,7058.8725,7102.22125,7072.04375,7071.15,7048.5125,7095.3,7015.43125
"D43",1128.0475,1128.38625,1132.145,1131.42625,1122.92375,1122.635,1128.92625,1131.2175,1130.405,1133.9975,1132.17125,1122.84875,1123.6225,1129.82875
"D44",8564.68875,8586.59625,8587.8075,8591.28,8590.57625,8625.24375,8600.8575,8581.9525,8601.6475,8604.24625,8599.23,8581.37375,8624.40375,8611.00375
"D45",1119.77,1120.9625,1124.87625,1124.77,1128.6325,1127.02,1124.3525,1122.85875,1123.94125,1128.38375,1126.5125,1128.7125,1126.95875,1125.33
"D46",10086.2,10119.725,10237.1125,10162.5875,10245.1375,10228.2,10212.1,10148.2875,10167.925,10263.325,10179.0875,10248.9125,10245.15,10232.85
"D47",1019.40875,1022.85375,1022.525,1018.775,1019.27875,1021.22625,1013.01625,1021.57875,1023.8475,1023.26625,1019.905,1020.06875,1021.995,1015.325
"D48",10478.325,10513.35,10557.05,10543.5,10459.7125,10438.625,10493.45,10520.8125,10536.5625,10578.5875,10547.125,10455.225,10441.2625,10505.3625
"D49",11080.7125,11105.95,11144.1625,11127.1375,11039.1125,11025.2,11086.9375,11126.3,11129.7625,11171.025,11126.875,11031.0875,11035.5,11101.4
"D50",9884.145,9924.29375,10000.3175,9940.99,10008.43625,9977.0475,9942.6325,9896.8725,9938.255,10007.86125,9952.40625,10008.7725,10005.0825,9978.23625
"D51",1016.5175,1021.24625,1031.51875,1024.62625,1031.73125,1029.945,1027.655,1022.64625,1026.04125,1033.86625,1026.75375,1032.2875,1031.9325,1029.8675
"D52",2898.8225,2897.44375,2938.20375,2896.10125,2888.43,2885.4325,2894.405,2906.32125,2903.16125,2939.90875,2896.5675,2884.5075,2887.66375,2899.475
"D53",1105.84625,1106.76625,1111.58375,1109.72875,1111.67375,1113.1,1111.43125,1109.25,1109.71125,1114.0425,1111.26,1111.455,1113.50875,1112.6075
"D54",2828.52375,2841.5425,2838.37625,2846.4475,2838.96375,2837.15875,2827.81875,2835.98,2847.46875,2844.8025,2849.6875,2837.62375,2839.5025,2832.28125
"D55",1079.99125,1080.635,1079.98375,1082.05625,1081.09625,1084.4125,1080.83875,1083.27375,1083.4075,1082.68625,1083.1725,1080.69,1084.785,1082.82375
"D56",10494.5125,10499.15,10556.8,10540.4125,10583.625,10579.575,10571.725,10533.575,10527.7625,10587.075,10559.625,10589.6375,10589.8375,10597.175
"D57",1714.0725,1719.89125,1723.14875,1715.215,1708.595,1709.575,1718.6025,1720.42,1724.56375,1727.3325,1716.54875,1708.94875,1711.0925,1721.51125
"D58",1674.2375,1687.9525,1687.3925,1687.51125,1679.54875,1669.90125,1678.83,1681.615,1692.025,1691.7525,1688.605,1678.1,1671.1125,1681.72375
"D59",4920.37125,4940.46875,4978.595,4958.085,4933.27,4948.8875,4928.6125,4942.1875,4958.9475,4992.5725,4962.595,4933.19625,4953.41375,4936.1975
"D60",4119.37875,4096.155,4102.145,4103.56625,4092.02625,4113.46875,4085.90125,4127.96125,4106.5525,4112.94125,4109.70875,4092.11875,4118.40625,4092.94875
"D61",3705.855,3713.28125,3669.195,3695.16125,3665.80125,3683.69,3676.13625,3694.67,3705.01875,3678.29875,3702.715,3671.18375,3690.2475,3679.8425
"D62",5719.31875,5723.33625,5697.6475,5694.50625,5661.20125,5662.565,5673.35875,5738.45875,5732.78875,5705.22625,5695.82625,5665.2775,5670.8325,5685.4375
"D63",4733.8925,4711.26375,4718.68375,4735.2175,4727.7025,4735.895,4722.7875,4739.59125,4720.75625,4730.86875,4743.17,4730.25125,4736.29375,4724.645
"D64",1047.5275,1057.26125,1060.30125,1051.74625,1044.52,1061.34125,1057.265,1051.485,1059.3425,1062.07,1051.82,1044.17,1060.55875,1056.535
"D65",3555.7875,3573.1275,3545.26375,3552.415,3548.0125,3584.42,3565.26625,3567.53125,3579.51375,3556.0375,3560.82125,3549.71,3588.955,3571.92125
"D66",1421.13125,1402.12375,1394.605,1388.2875,1399.27,1392.03,1399.52,1423.73125,1402.845,1395.65875,1390.06,1400.00875,1394.6925,1403.21
"D67",5138.4025,5167.76875,5079.64375,5144.02375,5111.95375,5096.4725,5158.6725,5156.68,5176.56375,5090.9075,5139.16,5108.59125,5102.045,5168.95125
"D68",5545.09875,5585.555,5545.7225,5569.9075,5590.945,5543.5025,5551.03375,5570.2225,5602.13625,5568.23,5574.415,5580.99125,5547.3825,5561.895
"D69",3954.65,3951.00875,3970.68625,3962.79375,3964.505,3975.23,3972.31625,3965.9775,3958.4875,3978.84625,3969.97875,3969.24,3978.5275,3980.3575
"D70",3985.04375,4122.56375,4115.92,4074.1075,4047.94875,4027.4925,4037.9975,3976.50125,4144.5925,4137.65375,4085.4975,4038.12,4009.5125,4013.06875
"D71",2547.255,2548.79,2545.46625,2531.33375,2535.1625,2533.93125,2535.915,2551.5475,2550.17125,2548.8975,2536.18375,2534.68625,2536.28,2539.61625
"D72",1917.13,1922.815,1926.2225,1918.23375,1912.925,1913.5725,1924.14,1922.8075,1926.55375,1931.19125,1921.1975,1914.16625,1916.5625,1928.91
