"id","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"H1",618.289,557.17575,523.35375,494.375875,475.761625,465.6625,465.38275,490.43925,497.483,537.660875,585.18575,648.526625,720.9665,774.49575,811.130875,825.72325,836.751,826.61575,826.758375,807.335375,776.230125,755.301125,727.20775,681.658625,610.777125,548.021875,510.11375,479.85775,461.605125,449.55375,450.736625,469.07375,480.69075,521.329375,574.235625,649.09,729.011,791.9865,835.060875,863.744875,861.130875,836.635375,825.872375,807.435125,785.28825,742.86225,724.124625,673.940625
"H2",2798.82875,2485.89875,2258.75625,2072.23125,1932.6125,1912.86,1873.835,1936.59125,2062.58125,2212.95625,2394.7075,2604.22,2855.14875,3082.64125,3284.32375,3471.97125,3595.8225,3710.9075,3788.59125,3807.15375,3725.10625,3534.98,3326.47,3200.69625,2895.85375,2554.3025,2292.9825,2089.98125,1965.47625,1860.3725,1846.4925,1902.375,2028.3425,2255.7575,2516.215,2776.2,3044.62125,3327.985,3564.78,3734.5675,3869.785,3926.88,3970.3225,3961.465,3865.7175,3647.54125,3435.0775,3261.86625
"H3",1460.09,1397.46875,1252.9575,1122.52625,1030.01375,970.42075,939.541625,906.665875,927.25875,981.914375,1066.9175,1153.32625,1209.80375,1252.2775,1304.23625,1343.7625,1385.97,1422.13,1460.31125,1485.6625,1518.2575,1521.5125,1497.0525,1449.2125,1414.49,1373.53,1239.1825,1115.05375,1002.36525,945.63075,915.1545,891.12925,906.25025,953.8,1030.825,1105.775,1176.075,1219.62,1261.65125,1294.995,1330.55625,1350.24375,1385.88,1425.2,1441.27875,1447.4325,1415.57375,1371.75375
"H4",5360.80875,5116.76375,4741.32,4350.69875,4027.67,3790.3125,3584.1825,3471.67625,3447.11125,3496.7975,3595.75875,3781.99125,3969.2075,4183.2,4431.53,4648.41,4854.1575,5120.355,5361.65625,5621.31125,5806.7175,5869.7175,5742.02,5620.07875,5479.05875,5204.91875,4825.685,4470.23875,4202.10625,3966.05,3772.9475,3670.94125,3651.41125,3703.97125,3746.18625,3859.94375,4010.52,4213.3325,4426.5725,4628.14125,4794.8075,5003.79125,5209.3625,5386.49875,5524.02,5470.325,5275.32625,5150.77125
"H5",3593.42,3260.13375,2810.2275,2417.44625,2138.785,1971.08625,1858.9,1783.0475,1791.53875,1872.885,1964.63875,2107.32125,2242.37,2358.7375,2626.77,2799.875,3008.49625,3215.08625,3416.465,3557.80125,3672.345,3757.925,3626.3475,3397.33,3137.785,2920.35625,2572.2675,2259.90625,2035.015,1881.26625,1786.71,1718.14375,1724.47875,1792.02625,1863.88125,1992.2125,2121.06125,2277.41,2429.7725,2598.84125,2815.03625,3061.875,3298.995,3507.78875,3672.7975,3778.3175,3701.06625,3504.92
"H6",5151.73375,5338.80125,5681.14875,6009.08125,6294.1125,6498.3875,6669.03125,6801.57375,6937.475,7096.99625,7180.6525,7213.875,7323.445,7382.87,7291.51625,7105.31125,6887.22625,6739.46125,6355.7275,5857.0475,5515.02625,5243.97625,5025.6525,4921.39,4934.75375,5014.4325,5151.38125,5441.39,5826.47375,6123.8625,6316.33125,6488.9975,6631.78125,6733.53625,6823.53,6877.93875,6931.44125,6992.2825,6929.7225,6825.91,6663.2625,6491.215,6103.72625,5651.385,5304.5675,5003.14875,4843.58125,4772.1725
"H7",48662.7625,47038.1875,44262.3,39961.9,36014.1625,33294.5875,31818.875,30774.275,30409.5,30676.8,31595,33284.425,35628.575,37616.3875,39659.8125,41674.2125,43491.7375,45122.4375,47353.2,48991.0625,50240.8625,51212.575,50796.875,49262.5625,47127.725,45794.9125,43260.2375,39277.7125,35580.2875,33027.5125,31663.725,30415.5625,29900.1625,30180,31074.1625,32621.6,34946.8,37150.3375,39329.7625,41689.6125,43687.8125,45442.2625,47411.9,49254.525,50401.4125,51208.175,50650.85,47993.7625
"H8",28918.2125,26754.5875,25033.6,23873.9875,23182.4625,23004.8375,23782.825,25060.9875,26349.375,28055.5625,30095.4625,32393.375,34605.1,36512.975,38213.7875,39362.1125,40209.875,40366.4625,39435.025,37891.7875,36434.9625,35428.0125,34398.0625,31714.7625,28918.5625,26458.45,24864.6375,23685.425,23010.1,22885.0625,23544.75,24577,25687.6125,27300.875,29055.175,31136.6125,33035.9375,34706.3,36436.5125,37859.4375,38832.8,39357.4,39104.125,37899.7625,36090.2625,34610.725,33484.1,31002.95
"H9",35381.1375,32548.875,30337.975,28734.7625,27643.4875,26956.875,26693.9625,27379.9375,28412.3375,29782.875,31717.0875,33955.8,36312.2875,38609.7625,40489.125,41988.6625,42836.0125,43594.2875,43962.1875,43649.6375,42925.55,41779.325,40216.275,39122.125,36653.775,33823.8625,31579.6125,29860.15,28597.5,27723.4625,27425.8375,27877.375,28756.45,30229.25,32526.0875,34966.5625,37563.375,40000.4875,41971.075,43585.425,44266.375,44851.8,44956.4,44431.2375,43436.0875,42115.85,40385.0875,39164.1
"H10",462.140375,456.64925,441.713375,423.627625,410.5995,402.657375,401.034375,398.25075,398.236375,399.498,423.561875,417.76175,426.386375,439.65125,441.25875,451.035875,456.874375,459.582125,470.00325,475.15425,470.98625,475.87425,476.295375,463.393375,459.4485,453.6385,441.59875,423.554,413.35725,405.206,402.917125,399.6985,399.388625,399.219625,423.318875,422.4905,431.36325,442.736375,448.81825,451.648125,453.221375,464.38325,470.418,469.19825,443.749375,481.45675,480.309375,466.7535
"H11",27209.975,26216.425,25694.85,25841.975,26331.05,27067.3125,28274.8125,29864.4875,31606.65,33224.3125,34512.25,35734.7,37304.05,38467.425,39267.5,39796.65,39488.1375,38737.85,37673.8625,36999,35110.0625,32102.175,29533.2375,27824.0875,27305.8375,26264.6625,25580.2875,25603.675,25831.975,26385.4875,27506.45,28797.075,30144.075,31673.2875,33395,34945.0625,36798.975,38123.3375,39035.9125,39434.975,39399.975,38568.6625,37267.9625,36295.125,33058.425,29871.1875,26854.6375,25564
"H12",8042.4175,7243.31375,6761.46875,6400.27625,6217.44,6166.85625,6419.9875,6785.72875,7232.5775,7811.785,8450.47625,9040.4925,9536.23125,10033.84375,10491.2375,10918.6625,11140.95,11236.2,11045.825,10646.9,10173.35,9840.70875,9384.965,8571.1425,7691.24625,6974.62,6497.22625,6159.81625,5976.9825,5930.34125,6184.68875,6494.2075,6868.89375,7429.2625,8046.6325,8692.7525,9291.57625,9804.0475,10309.25,10774.775,11076.825,11166.3875,11059.225,10711.9375,10128.8125,9628.1575,9190.15125,8414.99
