"id","V2","V3","V4","V5","V6","V7","V8","V9"
"Q1",6938.38,6797.3575,6907.2075,6889.1075,7030.3475,6885.5725,6996.1675,6972.615
"Q2",7144.27,7118.9675,7220.15,7209.25,7265.12,7270.84,7378.055,7347.7275
"Q3",7231.415,7135.9225,7190.8575,7170.875,7272.6075,7214.0425,7254.755,7213.5875
"Q4",7694.5025,7728.6225,7769.43,7755.8875,7776.2025,7813.9575,7859.6975,7839.995
"Q5",956.861,838.6545,1139.845,1364.6525,970.15075,847.1715,1141.655,1367.195
"Q6",9818.27,9733.4625,9828.2575,9878.405,9858.49,9777.64,9876.7,9928.0975
"Q7",3374.0575,3356.545,3354.685,3366.6,3380.0475,3363.2125,3360.185,3375.05
"Q8",2600.27,2561.5125,2605.52,2636.4325,2616.1875,2575.735,2615.53,2645.55
"Q9",2497.2925,2472.025,2491.5525,2498.2425,2494.7225,2471.51,2493.435,2504.5925
"Q10",2558.98,2537.9375,2563.89,2561.55,2555.3375,2539.1125,2567.185,2564.4875
"Q11",1170.0425,1162.8225,1158.345,1157.46,1171.225,1164.8025,1161.7225,1160.7625
"Q12",3149.645,2938.655,3216.91,3393.41,3168.0725,2941.575,3215.57,3381.5675
"Q13",1762.02,1759.3575,1779.7675,1783.23,1804.535,1801.4425,1816.9575,1821.305
"Q14",12338.65,12220.65,12290.725,12558.8,12681.925,12613.325,12666.95,12941.825
"Q15",1202.6825,1173.3075,1271.0725,1310.4975,1238.335,1203.705,1296.325,1326.19
"Q16",2027.2025,2036.22,2127.7575,2119.15,2096.5325,2097.9325,2201.3325,2187.935
"Q17",2447.5775,2474.265,2422.17,2483.8525,2477.835,2503.5375,2451.905,2512.565
"Q18",4645.4675,4446.0225,4881.0975,4732.6175,4670.4425,4441.84,4881.16,4718.8875
"Q19",5725.02,5689.21,5774.7525,5796.37,5748.23,5701.9575,5796.14,5817.6825
"Q20",6291.1275,6288.6275,6288.265,6359.3725,6330.6525,6321.1875,6321.0825,6391.335
"Q21",9733.3425,9694.6725,9769.99,9872.775,9759.7525,9724.215,9807.7075,9922.615
"Q22",5051.2375,5070.68,5179.425,5250.6975,5113.65,5136.565,5241.76,5314.2175
"Q23",5964.4075,5856.3775,6013.67,6086.9725,5968.785,5868.4375,6026.675,6101.3925
"Q24",2305.21,2292.0175,2336.6075,2324.605,2307.0575,2287.035,2327.8725,2313.705
"Q25",1363.5025,1357.1425,1385.4425,1378.98,1359.0125,1353.12,1380.905,1369.1275
"Q26",7553.055,6861.3825,7644.1375,9069.2225,7507.8075,6921.065,7720.57,9226.9025
"Q27",9148.1275,9051.7075,9230.445,9258.375,9200.2775,9055.56,9224.5275,9245.38
"Q28",5159.2125,5152.0375,5055.025,4977.5,5184.2075,5201.3275,5114.9425,5044.5925
"Q29",1957.9275,1916.685,1895.7175,1884.53,1966.7475,1929.0875,1911.6325,1899.4225
"Q30",3125.825,3141.915,3080.9275,3092.815,3141.005,3161.08,3100.1825,3114.5375
"Q31",2509.8775,2557.62,2518.415,2510.3675,2519.5075,2569.6875,2533.46,2525.3525
"Q32",4856.3375,4739.0925,4740.625,4738.8425,4923.8225,4812.02,4816.28,4811.5175
"Q33",8277.66,8361.2125,8335.1075,8341.72,8388.025,8459.765,8431.01,8435.37
"Q34",7189.19,7321.5175,7262.945,7285.34,7282.4375,7401.925,7346.5275,7345.5525
"Q35",10150.875,10333,10278.775,10171.525,10280.825,10462.85,10398.05,10279.125
"Q36",9213.2375,9174.37,9176.0375,9229.805,9335.68,9298.84,9330.1625,9394.7075
"Q37",4552.6375,4521.385,4531.885,4537.48,4569.9875,4564.3925,4590.75,4603.215
"Q38",6364.795,6372.405,6511.3225,6468.5725,6459.155,6467.855,6609.675,6606.6325
"Q39",5522.345,5703.365,6207.96,6041.7,5612.9175,5815.9075,6384.7075,6187.895
"Q40",5284.2675,5332.445,5306.545,5296.585,5342.575,5398.715,5380.165,5370.46
"Q41",1917.8175,1917.6625,1921.59,1927.0225,1944.37,1943.52,1948.16,1952.8625
"Q42",2134.6825,2137.3425,2129.77,2129.4875,2163.5325,2162.6775,2158.1275,2156.8825
"Q43",5509.9375,5593.895,5528.8,5557.6725,5571.0825,5663.9,5618.605,5649.235
