"id","V2","V3","V4","V5","V6","V7"
"Y1",7264.94875,7308.07125,7344.81625,7394.75875,7431.42,7480.5975
"Y2",1641.30375,1656.32375,1686.80875,1717.51,1731.595,1747.6475
"Y3",8580.29125,8789.12375,8995.8975,9218.5575,9443.5425,9666.21
"Y4",9892.71,10120.55,10350.25,10590.175,10835.825,11072.3625
"Y5",7114.55875,7358.66,7607.76,7858.9375,8106.7775,8354.77
"Y6",4290.5225,4481.3725,4676.4425,4855.1925,5031.3475,5211.05125
"Y7",3952.375,4101.77125,4256.07375,4391.7575,4522.9325,4658.83375
"Y8",2419.9075,2430.935,2441.46875,2452.82,2462.3125,2465.725
"Y9",2325.6575,2347.04625,2366.25125,2386.92125,2404.67375,2418.51
"Y10",2390.27875,2415.37875,2438.1625,2459.77125,2478.575,2493.40375
"Y11",1508.90625,1522.02875,1534.4975,1547.28375,1558.4625,1565.99125
"Y12",2025.03,2066.98,2107.1425,2148.01625,2186.72,2221.19125
"Y13",4687.18375,4803.93875,4922.6525,5057.10875,5190.5425,5306.115
"Y14",5122.83125,5232.0825,5342.83875,5469.16875,5594.5675,5704.41
"Y15",5477.61,5633.625,5787.52125,5957.5975,6128.025,6288.6825
"Y16",2547.99,2586.53875,2624.9525,2668.44375,2710.21875,2746.00125
"Y17",3857.795,3946.49,4033.41,4131.47625,4226.90625,4314.825
"Y18",3165.58875,3214.9525,3263.35625,3320.99125,3374.615,3421.26625
"Y19",3243.2725,3424.32,3616.93625,3813.995,3989.11125,4184.41875
"Y20",6646.53875,6780.19125,6909.48125,7042.4875,7173.54375,7293.9425
"Y21",9943.5125,10356.3375,10788.225,11195.825,11599.7875,12007.25
"Y22",4836.63,5055.40125,5301.4875,5520.595,5730.04625,5963.91
"Y23",10572.6125,10749.0875,10948.7375,11108.9125,11263.65,11413.1125
"Y24",9848.8275,10105.61625,10388.3,10622.7125,10847.85,11085.4875
"Y25",2556.14625,2645.275,2739.7975,2822.2475,2904.3375,2985.18
"Y26",8109,8430.43375,8799.66125,9129.84125,9449.2475,9807.4775
"Y27",1930.74125,2000.6375,2077.25625,2143.59625,2208.3875,2276.53125
"Y28",1881.83875,1946.795,2015.69,2076.5975,2136.275,2200.03
"Y29",4325.8025,4385.41625,4441.61625,4494.27125,4542.68125,4584.2075
"Y30",4575.71375,4682.365,4789.94625,4894.53125,4995.66375,5085.90125
"Y31",3859.57875,3888.15875,3914.44375,3937.0125,3956.58875,3966.0725
"Y32",5520.18625,5589.64375,5654.17625,5718.46,5775.92875,5824.0825
"Y33",1285.57875,1302.035,1318.1325,1334.47625,1349.025,1360.3825
"Y34",1720.24125,1738.88625,1755.5775,1772.86875,1787.74375,1799.02875
"Y35",3487.00375,3555.92875,3623.57125,3687.67375,3748.9625,3803.0675
"Y36",1182.95875,1193.86875,1203.26875,1213.24875,1221.58875,1227.92875
"Y37",4114.4225,4190.8325,4263.50125,4331.35,4396.50625,4454.1225
"Y38",3679.65875,4087.57625,4495.63875,4721.94375,5055.73375,5382.34875
"Y39",3833.57,3949.42125,4066.49375,4197.29875,4320.0825,4432.9625
"Y40",4770.47,4919.68,5055.8325,5223.57625,5399.9725,5542.015
"Y41",14723.5375,15030.0625,15283.6625,15613.825,15962.65,16241.3
"Y42",5883.9125,6199.6475,6504.6875,6833.8875,7168.34,7471.50875
"Y43",2942.26875,3074.28125,3199.72125,3342.4175,3483.62375,3613.51
"Y44",10258.6625,10591.1375,10882.775,11224.825,11568.275,11857.1125
"Y45",10231.1125,10528.825,10787.4625,11086.8875,11396.925,11657.425
"Y46",6405.59,6683.95125,6949.61875,7234.79,7520.73,7769.425
"Y47",6425.045,6710.4375,6976.8675,7267.785,7556.16375,7803.54875
"Y48",6728.49375,6742.6025,6724.11875,6716.555,6704.825,6702.475
"Y49",2518.4075,2543.21625,2557.9,2578.995,2598.81625,2614.55375
"Y50",18707.65,19031.5375,19252.8,19539.4,19800.4,20054.9625
"Y51",8230.8775,8351.9575,8419.24,8516.9775,8605.36375,8692.81625
"Y52",18094.05,19290.2125,20536.1125,21811.3,23089.0625,24377.8625
"Y53",19954.6375,21326.5625,22829.2375,24546.8,25911.2375,27216.4875
"Y54",9101.73625,9850.76875,10623.3125,11445.95,12300.45,13083.225
"Y55",2813.37375,3045.84375,3288.74625,3537.66,3788.0175,4034.26375
"Y56",12537.025,13775.3875,15009.1375,16336.1625,17598.425,18843.3125
"Y57",2134.5275,2241.39875,2355.9375,2466.7325,2581.3925,2692.5025
"Y58",10077.35,10314.525,10536.025,10795.8125,11058.8875,11275.4125
"Y59",10128.625,10295.075,10409.475,10568.2625,10728.9125,10866.425
"Y60",10185.225,10401.1125,10613.475,10854.4,11088.925,11321.45
"Y61",10067.7875,10229.7625,10333.775,10492.8625,10676.05,10846.6125
"Y62",10092.57625,10379.4,10638.7375,10992.3125,11254.3375,11549.9875
"Y63",10309.125,10685.025,11088.925,11537.1625,11990.275,12475.45
"Y64",13455.9875,13797.0875,14127.15,14487.125,14846.4875,15207.9
"Y65",10725.9375,11095.5125,11494.4875,11915.1625,12301.1375,12728.1
"Y66",10399.8625,10791.7125,11226.425,11666.7,12117.3375,12542.5125
"Y67",10070.5,10289.925,10480.7875,10709.275,10937.5125,11142.5
"Y68",10006.2125,10156.375,10266.85,10405.5125,10544.125,10668.425
"Y69",10227.475,10515.875,10831.3625,11174.2375,11525.35,11817.0625
"Y70",10073.58875,10254.2875,10360.125,10522.4125,10708.5,10874.8375
"Y71",10047.8375,10291.2375,10478.6,10707.4375,10948.7125,11194.525
"Y72",10329.2,10648.2,10944.875,11252.075,11574.825,11845.4375
"Y73",10170.65,10294.1375,10360.1625,10452.4,10503.725,10596.5875
"Y74",10226.775,10422.65,10590.6625,10789.15,10955.475,11119.9875
"Y75",10098.1125,10195.9125,10271.8875,10363.9,10432.1375,10506.9875
"Y76",10187.0125,10370.575,10527.3375,10705.525,10867.475,11034.5125
"Y77",10295.6875,10575.5,10834.3125,11126.35,11420.5,11731.5875
"Y78",9918.66375,10300.925,10672.225,11101.175,11552.6125,11913.5125
"Y79",4901.815,5181.1475,5445.92125,5682.2675,5959.4875,6188.7025
"Y80",3861.23625,4051.7525,4252.97375,4404.08125,4534.265,4671.71125
"Y81",4514.785,4694.72125,4857.6525,5044.095,5229.22125,5372.89375
"Y82",11152.4875,11656.425,12083.8625,12559.1625,13068.6625,13600.075
"Y83",9620.83625,10016.5075,10396.3125,10837.025,11310.9125,11692.4625
"Y84",3733.315,3735.8775,3728.67875,3731.0075,3721.8875,3727.665
"Y85",1598.20125,1618.63125,1635.75625,1653.56375,1665.66375,1685.26875
"Y86",2552.86625,2590.72625,2620.1025,2653.2625,2679.25375,2718.49375
